序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,688095,福昕软件,股吧行情,10.02%,44.0,2955.04
2,688615,合合信息,股吧行情,9.95%,14.5,2935.38
3,688088,虹软科技,股吧行情,9.94%,76.0,2930.56
4,688608,恒玄科技,股吧行情,9.93%,9.0,2928.33
5,688515,裕太微,股吧行情,9.90%,29.5,2920.5
6,688486,龙迅股份,股吧行情,9.79%,37.0,2887.48
7,688279,峰岹科技,股吧行情,9.62%,18.0,2838.6
8,688582,芯动联科,股吧行情,9.55%,56.0,2817.36
9,688049,炬芯科技,股吧行情,7.91%,52.0,2333.24
10,688270,臻镭科技,股吧行情,7.71%,65.0,2275.0
