序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688375,国博电子,,,变动详情股吧行情,8.61%,500.0,30005.0,2025年2季度
2,688498,源杰科技,,,变动详情股吧行情,8.39%,150.0,29250.0,2025年2季度
3,300810,中科海讯,,,变动详情股吧行情,5.92%,450.0,20614.5,2025年2季度
4,688522,纳睿雷达,,,变动详情股吧行情,5.14%,350.0,17927.0,2025年2季度
5,600764,中国海防,,,变动详情股吧行情,4.88%,500.0,17000.01,2025年2季度
6,688326,经纬恒润,,,变动详情股吧行情,4.61%,180.0,16063.2,2025年2季度
7,300123,亚光科技,,,变动详情股吧行情,4.45%,2150.0,15523.0,2025年2季度
8,603341,龙旗科技,,,变动详情股吧行情,4.37%,375.0,15236.25,2025年2季度
9,688143,长盈通,,,变动详情股吧行情,4.03%,360.0,14040.0,2025年2季度
10,603773,沃格光电,,,变动详情股吧行情,3.89%,550.0,13552.0,2025年2季度
1,688631,莱斯信息,,,股吧行情,5.54%,200.0,18084.0,2025年1季度
2,688522,纳睿雷达,,,股吧行情,5.28%,250.0,17237.5,2025年1季度
3,688498,源杰科技,,,股吧行情,5.12%,150.0,16710.0,2025年1季度
4,688326,经纬恒润,,,股吧行情,5.06%,200.0,16520.0,2025年1季度
5,603341,龙旗科技,,,股吧行情,4.99%,375.0,16282.5,2025年1季度
6,300213,佳讯飞鸿,,,股吧行情,4.57%,1700.0,14926.0,2025年1季度
7,688375,国博电子,,,股吧行情,4.06%,250.0,13257.5,2025年1季度
8,603773,沃格光电,,,股吧行情,3.86%,500.0,12585.0,2025年1季度
9,603063,禾望电气,,,股吧行情,3.48%,350.0,11354.0,2025年1季度
10,688256,寒武纪,,,股吧行情,3.25%,17.0,10591.0,2025年1季度
