序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值比例,持股数 （万股）,持仓市值 （万元人民币）,季度
1,2269,药明生物,--,--,股吧行情,0.13,4.9,79.68,2024年4季度
2,6160,百济神州,--,--,股吧行情,0.12,0.7,70.79,2024年4季度
3,1801,信达生物,--,--,股吧行情,0.11,1.9,64.4,2024年4季度
4,1093,石药集团,--,--,股吧行情,0.08,10.8,47.81,2024年4季度
5,9926,康方生物,--,--,股吧行情,0.07,0.8,44.97,2024年4季度
6,1177,中国生物制药,--,--,股吧行情,0.07,13.5,40.0,2024年4季度
7,2367,巨子生物,--,--,股吧行情,0.05,0.6,27.73,2024年4季度
8,3692,翰森制药,--,--,股吧行情,0.04,1.6,25.6,2024年4季度
9,9688,再鼎医药,--,--,股吧行情,0.04,1.3,25.16,2024年4季度
10,2359,药明康德,--,--,股吧行情,0.04,0.46,24.07,2024年4季度
