序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,600111,北方稀土,股吧行情,0.09%,5.66,116.77,2024年3季度
2,2340,格林美,股吧行情,0.04%,7.87,56.11,2024年3季度
3,2202,金风科技,股吧行情,0.04%,5.16,51.7,2024年3季度
4,2600,领益智造,股吧行情,0.04%,6.31,47.39,2024年3季度
5,600010,包钢股份,股吧行情,0.03%,24.7,42.74,2024年3季度
6,831,中国稀土,股吧行情,0.03%,1.44,40.77,2024年3季度
7,601600,中国铝业,股吧行情,0.03%,4.49,39.96,2024年3季度
8,600549,厦门钨业,股吧行情,0.03%,1.87,39.12,2024年3季度
9,600392,盛和资源,股吧行情,0.02%,3.18,31.96,2024年3季度
10,2056,横店东磁,股吧行情,0.02%,1.83,25.97,2024年3季度
1,600111,北方稀土,股吧行情,0.08%,5.88,101.14,2024年2季度
2,601600,中国铝业,股吧行情,0.05%,8.2,62.57,2024年2季度
3,2340,格林美,股吧行情,0.04%,7.87,50.13,2024年2季度
4,2600,领益智造,股吧行情,0.04%,6.31,44.93,2024年2季度
5,600010,包钢股份,股吧行情,0.03%,28.97,40.56,2024年2季度
6,831,中国稀土,股吧行情,0.03%,1.44,36.5,2024年2季度
7,2202,金风科技,股吧行情,0.03%,5.16,34.68,2024年2季度
8,600549,厦门钨业,股吧行情,0.03%,1.92,33.12,2024年2季度
9,600392,盛和资源,股吧行情,0.02%,3.27,28.19,2024年2季度
10,600580,卧龙电驱,股吧行情,0.02%,2.15,26.11,2024年2季度
1,2340,格林美,股吧行情,0.06%,13.5,84.78,2024年1季度
2,2600,领益智造,股吧行情,0.06%,14.19,77.9,2024年1季度
3,2202,金风科技,股吧行情,0.05%,8.5,64.01,2024年1季度
4,831,中国稀土,股吧行情,0.05%,2.22,61.14,2024年1季度
5,2240,盛新锂能,股吧行情,0.04%,2.73,52.63,2024年1季度
6,2056,横店东磁,股吧行情,0.03%,3.07,44.55,2024年1季度
7,600111,北方稀土,股吧行情,0.03%,2.28,44.16,2024年1季度
8,2249,大洋电机,股吧行情,0.03%,8.41,42.55,2024年1季度
9,300748,金力永磁,股吧行情,0.03%,2.59,39.86,2024年1季度
10,970,中科三环,股吧行情,0.03%,3.68,34.52,2024年1季度
