序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688486,龙迅股份,股吧行情,7.65%,51.82,6154.44,2023年4季度
2,301095,广立微,股吧行情,6.32%,68.0,5081.63,2023年4季度
3,688590,新致软件,股吧行情,5.42%,192.62,4357.15,2023年4季度
4,300624,万兴科技,股吧行情,4.80%,40.79,3858.73,2023年4季度
5,688279,峰岹科技,股吧行情,4.69%,29.92,3773.17,2023年4季度
6,603667,五洲新春,股吧行情,4.07%,139.9,3273.66,2023年4季度
7,2664,信质集团,股吧行情,4.01%,194.14,3228.55,2023年4季度
8,688458,美芯晟,股吧行情,3.60%,37.66,2898.02,2023年4季度
9,688111,金山办公,股吧行情,2.98%,7.58,2395.31,2023年4季度
10,300033,同花顺,股吧行情,2.72%,13.96,2189.91,2023年4季度
1,300308,中际旭创,股吧行情,6.89%,51.05,5911.59,2023年3季度
2,688486,龙迅股份,股吧行情,5.70%,51.82,4886.45,2023年3季度
3,300624,万兴科技,股吧行情,5.69%,49.05,4882.93,2023年3季度
4,2920,德赛西威,股吧行情,5.04%,30.07,4319.25,2023年3季度
5,2463,沪电股份,股吧行情,4.88%,185.9,4184.61,2023年3季度
6,688111,金山办公,股吧行情,4.87%,11.27,4180.07,2023年3季度
7,300033,同花顺,股吧行情,4.83%,27.73,4144.53,2023年3季度
8,301095,广立微,股吧行情,4.16%,44.97,3568.8,2023年3季度
9,300378,鼎捷数智,股吧行情,3.85%,133.05,3298.31,2023年3季度
10,688475,萤石网络,股吧行情,3.68%,64.77,3154.49,2023年3季度
1,688111,金山办公,股吧行情,8.17%,18.8,8876.93,2023年2季度
2,300308,中际旭创,股吧行情,7.36%,54.26,8000.64,2023年2季度
3,300033,同花顺,股吧行情,7.27%,45.07,7899.87,2023年2季度
4,300624,万兴科技,股吧行情,6.34%,58.82,6890.76,2023年2季度
5,2230,科大讯飞,股吧行情,6.20%,99.22,6742.99,2023年2季度
6,688486,龙迅股份,股吧行情,5.25%,51.84,5704.67,2023年2季度
7,688369,致远互联,股吧行情,3.79%,74.39,4114.0,2023年2季度
8,688475,萤石网络,股吧行情,3.63%,91.92,3939.58,2023年2季度
9,2555,三七互娱,股吧行情,2.89%,90.16,3144.78,2023年2季度
10,2920,德赛西威,股吧行情,2.65%,18.5,2882.49,2023年2季度
1,688103,国力股份,股吧行情,8.04%,115.79,6999.46,2023年1季度
2,688111,金山办公,股吧行情,6.09%,11.2,5298.55,2023年1季度
3,300033,同花顺,股吧行情,5.62%,23.95,4892.99,2023年1季度
4,300624,万兴科技,股吧行情,5.42%,61.98,4722.26,2023年1季度
5,688369,致远互联,股吧行情,5.20%,46.87,4529.1,2023年1季度
6,300634,彩讯股份,股吧行情,5.07%,159.53,4417.39,2023年1季度
7,2230,科大讯飞,股吧行情,5.07%,69.28,4411.75,2023年1季度
8,688486,龙迅股份,股吧行情,5.06%,47.5,4400.69,2023年1季度
9,300674,宇信科技,股吧行情,5.04%,236.21,4391.11,2023年1季度
10,688489,三未信安,股吧行情,4.35%,34.6,3782.54,2023年1季度
