序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,301269,华大九天,股吧行情,7.09%,26.88,3255.17
2,2920,德赛西威,股吧行情,5.62%,23.43,2579.88
3,2475,立讯精密,股吧行情,5.00%,56.36,2297.23
4,2384,东山精密,股吧行情,4.90%,77.01,2248.55
5,300033,同花顺,股吧行情,4.24%,6.78,1949.25
6,2027,分众传媒,股吧行情,4.24%,276.8,1945.9
7,2415,海康威视,股吧行情,4.19%,62.71,1925.2
8,100,TCL科技,股吧行情,3.90%,356.38,1792.59
9,300369,绿盟科技,股吧行情,3.75%,239.59,1722.65
10,688052,纳芯微,股吧行情,3.69%,13.0,1693.9
