序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,600160,巨化股份,股吧行情,9.49%,7.98,192.48,2024年4季度
2,603379,三美股份,股吧行情,9.47%,5.0,191.9,2024年4季度
3,189,东岳集团,股吧行情,8.26%,22.28,167.53,2024年4季度
4,605020,永和股份,股吧行情,5.51%,5.49,111.61,2024年4季度
5,688087,英科再生,股吧行情,4.99%,3.33,101.08,2024年4季度
6,603822,嘉澳环保,股吧行情,3.97%,1.65,80.45,2024年4季度
7,600378,昊华科技,股吧行情,3.44%,2.41,69.67,2024年4季度
8,300980,祥源新材,股吧行情,3.41%,3.02,69.16,2024年4季度
9,3001,中岩大地,股吧行情,3.06%,1.35,62.1,2024年4季度
10,2096,易普力,股吧行情,3.01%,5.14,61.06,2024年4季度
1,603379,三美股份,股吧行情,9.67%,3.73,132.04,2024年3季度
2,600216,浙江医药,股吧行情,9.63%,7.59,131.46,2024年3季度
3,600160,巨化股份,股吧行情,9.62%,5.9,131.39,2024年3季度
4,189,东岳集团,股吧行情,9.40%,18.31,128.3,2024年3季度
5,601899,紫金矿业,股吧行情,6.85%,5.16,93.6,2024年3季度
6,2001,新和成,股吧行情,5.21%,3.15,71.1,2024年3季度
7,422,湖北宜化,股吧行情,4.65%,4.41,63.46,2024年3季度
8,2984,森麒麟,股吧行情,4.06%,2.02,55.41,2024年3季度
9,601118,海南橡胶,股吧行情,3.65%,8.42,49.85,2024年3季度
10,688386,泛亚微透,股吧行情,3.07%,1.33,41.96,2024年3季度
1,600160,巨化股份,股吧行情,9.99%,5.31,128.13,2024年2季度
2,603379,三美股份,股吧行情,9.83%,3.22,126.03,2024年2季度
3,422,湖北宜化,股吧行情,9.54%,10.26,122.3,2024年2季度
4,189,东岳集团,股吧行情,9.39%,15.54,120.38,2024年2季度
5,601899,紫金矿业,股吧行情,8.09%,5.9,103.66,2024年2季度
6,603993,洛阳钼业,股吧行情,5.08%,7.67,65.2,2024年2季度
7,600469,风神股份,股吧行情,3.48%,7.63,44.56,2024年2季度
8,601233,桐昆股份,股吧行情,2.98%,2.39,38.14,2024年2季度
9,600873,梅花生物,股吧行情,2.97%,3.8,38.08,2024年2季度
10,601168,西部矿业,股吧行情,2.52%,1.8,32.31,2024年2季度
1,189,东岳集团,股吧行情,9.60%,21.9,145.72,2024年1季度
2,600160,巨化股份,股吧行情,7.53%,4.83,114.28,2024年1季度
3,605020,永和股份,股吧行情,7.06%,3.65,107.24,2024年1季度
4,603379,三美股份,股吧行情,6.71%,2.35,101.9,2024年1季度
5,601058,赛轮轮胎,股吧行情,4.11%,4.25,62.39,2024年1季度
6,2883,中海油田服务,股吧行情,4.09%,7.6,62.01,2024年1季度
7,600547,山东黄金,股吧行情,3.85%,2.07,58.44,2024年1季度
8,600378,昊华科技,股吧行情,3.53%,1.62,53.54,2024年1季度
9,603619,中曼石油,股吧行情,3.22%,1.95,48.93,2024年1季度
10,601899,紫金矿业,股吧行情,3.06%,2.76,46.42,2024年1季度
