序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,600259,广晟有色,,,变动详情股吧行情,0.03%,0.09,2.7,2024年3季度
2,600549,厦门钨业,,,变动详情股吧行情,0.03%,0.12,2.51,2024年3季度
3,601908,京运通,,,变动详情股吧行情,0.03%,0.84,2.48,2024年3季度
4,601600,中国铝业,,,变动详情股吧行情,0.03%,0.27,2.4,2024年3季度
5,688077,大地熊,,,变动详情股吧行情,0.03%,0.12,2.2,2024年3季度
6,300811,铂科新材,,,变动详情股吧行情,0.02%,0.04,1.92,2024年3季度
7,600111,北方稀土,,,变动详情股吧行情,0.02%,0.09,1.86,2024年3季度
8,600980,北矿科技,,,变动详情股吧行情,0.02%,0.12,1.82,2024年3季度
9,600580,卧龙电驱,,,变动详情股吧行情,0.02%,0.12,1.53,2024年3季度
10,600392,盛和资源,,,变动详情股吧行情,0.02%,0.15,1.51,2024年3季度
1,600259,广晟有色,,,股吧行情,0.04%,0.09,2.46,2024年2季度
2,601908,京运通,,,股吧行情,0.03%,0.84,2.13,2024年2季度
3,600549,厦门钨业,,,股吧行情,0.03%,0.12,2.07,2024年2季度
4,601600,中国铝业,,,股吧行情,0.03%,0.27,2.06,2024年2季度
5,688077,大地熊,,,股吧行情,0.03%,0.12,1.9,2024年2季度
6,300811,铂科新材,,,股吧行情,0.03%,0.04,1.84,2024年2季度
7,600980,北矿科技,,,股吧行情,0.02%,0.12,1.56,2024年2季度
8,600111,北方稀土,,,股吧行情,0.02%,0.09,1.55,2024年2季度
9,600580,卧龙电驱,,,股吧行情,0.02%,0.12,1.46,2024年2季度
10,600392,盛和资源,,,股吧行情,0.02%,0.15,1.29,2024年2季度
1,601908,京运通,,,股吧行情,0.04%,0.78,2.91,2024年1季度
2,300811,铂科新材,,,股吧行情,0.02%,0.03,1.69,2024年1季度
3,601600,中国铝业,,,股吧行情,0.02%,0.21,1.55,2024年1季度
4,600549,厦门钨业,,,股吧行情,0.02%,0.06,1.17,2024年1季度
5,600580,卧龙电驱,,,股吧行情,0.01%,0.06,1.01,2024年1季度
6,600259,广晟有色,,,股吧行情,0.01%,0.03,0.9,2024年1季度
7,600980,北矿科技,,,股吧行情,0.01%,0.06,0.89,2024年1季度
8,600392,盛和资源,,,股吧行情,0.01%,0.09,0.87,2024年1季度
9,600416,湘电股份,,,股吧行情,0.01%,0.06,0.8,2024年1季度
10,600206,有研新材,,,股吧行情,0.01%,0.06,0.67,2024年1季度
