序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688439,振华风光,股吧行情,8.92%,300.0,26733.0,2023年4季度
2,2151,北斗星通,股吧行情,6.32%,600.01,18948.18,2023年4季度
3,301269,华大九天,股吧行情,5.30%,150.0,15877.5,2023年4季度
4,603773,沃格光电,股吧行情,5.09%,450.01,15241.69,2023年4季度
5,300123,亚光科技,股吧行情,4.89%,2000.0,14660.0,2023年4季度
6,300474,景嘉微,股吧行情,4.72%,200.0,14142.0,2023年4季度
7,688311,盟升电子,股吧行情,4.26%,250.0,12752.5,2023年4季度
8,688375,国博电子,股吧行情,3.98%,150.0,11929.5,2023年4季度
9,688543,国科军工,股吧行情,3.36%,180.0,10062.0,2023年4季度
10,688084,晶品特装,股吧行情,3.33%,133.0,9968.35,2023年4季度
1,301269,华大九天,股吧行情,8.63%,240.0,25180.8,2023年3季度
2,688439,振华风光,股吧行情,8.48%,280.0,24746.4,2023年3季度
3,2151,北斗星通,股吧行情,6.37%,600.01,18576.18,2023年3季度
4,300474,景嘉微,股吧行情,5.41%,194.5,15772.01,2023年3季度
5,300123,亚光科技,股吧行情,4.52%,2000.0,13200.0,2023年3季度
6,688375,国博电子,股吧行情,3.97%,137.53,11580.14,2023年3季度
7,300101,振芯科技,股吧行情,3.97%,550.0,11577.5,2023年3季度
8,603773,沃格光电,股吧行情,3.21%,300.0,9375.0,2023年3季度
9,688311,盟升电子,股吧行情,2.90%,210.0,8448.3,2023年3季度
10,600435,北方导航,股吧行情,2.85%,800.0,8320.0,2023年3季度
1,688439,振华风光,股吧行情,8.92%,280.0,30749.6,2023年2季度
2,301269,华大九天,股吧行情,8.55%,240.0,29481.6,2023年2季度
3,2151,北斗星通,股吧行情,6.12%,600.01,21096.2,2023年2季度
4,688311,盟升电子,股吧行情,6.08%,300.0,20982.0,2023年2季度
5,300395,菲利华,股吧行情,4.28%,300.0,14760.0,2023年2季度
6,300101,振芯科技,股吧行情,3.94%,700.0,13573.0,2023年2季度
7,300123,亚光科技,股吧行情,3.17%,1500.0,10920.0,2023年2季度
8,688381,帝奥微,股吧行情,2.90%,310.0,10006.8,2023年2季度
9,300474,景嘉微,股吧行情,2.87%,110.0,9898.9,2023年2季度
10,300260,新莱应材,股吧行情,2.86%,249.99,9879.7,2023年2季度
1,301269,华大九天,股吧行情,8.97%,330.0,40695.6,2023年1季度
2,688311,盟升电子,股吧行情,4.40%,285.0,19958.55,2023年1季度
3,300101,振芯科技,股吧行情,3.88%,600.0,17634.0,2023年1季度
4,32,深桑达A,股吧行情,3.64%,500.0,16530.0,2023年1季度
5,688381,帝奥微,股吧行情,3.59%,400.0,16304.0,2023年1季度
6,300260,新莱应材,股吧行情,3.01%,200.0,13658.0,2023年1季度
7,688409,富创精密,股吧行情,3.00%,120.0,13602.0,2023年1季度
8,2049,紫光国微,股吧行情,2.94%,120.0,13335.6,2023年1季度
9,2439,启明星辰,股吧行情,2.93%,400.0,13300.0,2023年1季度
10,300395,菲利华,股吧行情,2.90%,300.0,13170.0,2023年1季度
