序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688608,恒玄科技,股吧行情,9.76%,40.41,6234.47,2023年4季度
2,688332,中科蓝讯,股吧行情,6.64%,56.19,4238.13,2023年4季度
3,688286,敏芯股份,股吧行情,5.19%,46.74,3310.91,2023年4季度
4,300101,振芯科技,股吧行情,4.66%,130.31,2974.95,2023年4季度
5,688213,思特威,股吧行情,3.67%,42.15,2342.07,2023年4季度
6,688239,航宇科技,股吧行情,3.00%,40.1,1915.81,2023年4季度
7,301269,华大九天,股吧行情,2.90%,17.51,1853.43,2023年4季度
8,688601,力芯微,股吧行情,2.65%,32.3,1691.97,2023年4季度
9,688458,美芯晟,股吧行情,2.24%,18.61,1432.33,2023年4季度
10,603893,瑞芯微,股吧行情,2.09%,21.09,1336.99,2023年4季度
1,688608,恒玄科技,股吧行情,7.84%,40.19,4688.4,2023年3季度
2,688332,中科蓝讯,股吧行情,5.20%,43.55,3106.4,2023年3季度
3,300101,振芯科技,股吧行情,3.25%,92.45,1946.05,2023年3季度
4,2049,紫光国微,股吧行情,3.07%,21.07,1837.6,2023年3季度
5,688286,敏芯股份,股吧行情,2.90%,34.73,1732.54,2023年3季度
6,688239,航宇科技,股吧行情,2.77%,29.22,1654.99,2023年3季度
7,688213,思特威,股吧行情,2.57%,34.31,1533.74,2023年3季度
8,603179,新泉股份,股吧行情,2.39%,28.81,1429.96,2023年3季度
9,301269,华大九天,股吧行情,2.32%,13.22,1387.04,2023年3季度
10,688601,力芯微,股吧行情,2.21%,29.56,1324.15,2023年3季度
1,688608,恒玄科技,股吧行情,7.52%,41.18,4983.74,2023年2季度
2,688332,中科蓝讯,股吧行情,4.22%,33.43,2797.71,2023年2季度
3,688286,敏芯股份,股吧行情,3.67%,38.62,2432.25,2023年2季度
4,2049,紫光国微,股吧行情,3.61%,25.67,2394.04,2023年2季度
5,300101,振芯科技,股吧行情,2.74%,93.6,1814.88,2023年2季度
6,688239,航宇科技,股吧行情,2.64%,24.98,1747.07,2023年2季度
7,603179,新泉股份,股吧行情,2.45%,36.98,1622.9,2023年2季度
8,301269,华大九天,股吧行情,2.42%,13.04,1601.83,2023年2季度
9,688279,峰岹科技,股吧行情,2.25%,11.27,1487.93,2023年2季度
10,688213,思特威,股吧行情,2.21%,28.59,1462.21,2023年2季度
1,2049,紫光国微,股吧行情,7.38%,51.13,5682.42,2023年1季度
2,2353,杰瑞股份,股吧行情,4.70%,127.67,3615.69,2023年1季度
3,300661,圣邦股份,股吧行情,4.68%,23.2,3601.23,2023年1季度
4,688608,恒玄科技,股吧行情,4.45%,23.76,3424.25,2023年1季度
5,603179,新泉股份,股吧行情,3.76%,66.58,2896.28,2023年1季度
6,688286,敏芯股份,股吧行情,3.43%,42.47,2642.16,2023年1季度
7,300101,振芯科技,股吧行情,3.42%,89.62,2633.9,2023年1季度
8,688381,帝奥微,股吧行情,3.30%,62.33,2540.52,2023年1季度
9,688332,中科蓝讯,股吧行情,3.08%,35.81,2369.39,2023年1季度
10,603290,斯达半导,股吧行情,3.00%,8.43,2313.39,2023年1季度
