序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2230,科大讯飞,股吧行情,7.52%,81.56,3940.94,2024年4季度
2,688111,金山办公,股吧行情,7.02%,12.85,3680.17,2024年4季度
3,977,浪潮信息,股吧行情,5.33%,53.82,2792.37,2024年4季度
4,938,紫光股份,股吧行情,5.17%,97.41,2711.05,2024年4季度
5,300502,新易盛,股吧行情,5.14%,23.33,2696.25,2024年4季度
6,603019,中科曙光,股吧行情,5.05%,36.63,2648.75,2024年4季度
7,300308,中际旭创,股吧行情,4.34%,18.4,2273.08,2024年4季度
8,600570,恒生电子,股吧行情,3.13%,58.68,1642.4,2024年4季度
9,300002,神州泰岳,股吧行情,2.72%,123.13,1427.08,2024年4季度
10,300442,润泽科技,股吧行情,2.70%,27.26,1416.43,2024年4季度
1,2230,科大讯飞,股吧行情,7.54%,78.82,3502.73,2024年3季度
2,688111,金山办公,股吧行情,7.16%,12.49,3327.15,2024年3季度
3,300308,中际旭创,股吧行情,6.25%,18.74,2902.7,2024年3季度
4,300502,新易盛,股吧行情,6.08%,21.75,2826.59,2024年3季度
5,603019,中科曙光,股吧行情,4.46%,43.41,2071.31,2024年3季度
6,977,浪潮信息,股吧行情,3.92%,43.9,1822.0,2024年3季度
7,300002,神州泰岳,股吧行情,3.64%,135.57,1690.56,2024年3季度
8,938,紫光股份,股吧行情,3.53%,67.95,1640.42,2024年3季度
9,300017,网宿科技,股吧行情,2.86%,142.25,1330.04,2024年3季度
10,600536,中国软件,股吧行情,2.68%,29.66,1243.11,2024年3季度
1,2230,科大讯飞,股吧行情,9.18%,89.96,3863.75,2024年2季度
2,688111,金山办公,股吧行情,7.00%,12.95,2945.69,2024年2季度
3,300308,中际旭创,股吧行情,6.92%,21.12,2912.58,2024年2季度
4,300502,新易盛,股吧行情,6.72%,26.79,2827.47,2024年2季度
5,603019,中科曙光,股吧行情,6.18%,62.71,2602.27,2024年2季度
6,938,紫光股份,股吧行情,5.07%,95.57,2136.09,2024年2季度
7,977,浪潮信息,股吧行情,4.27%,49.46,1798.99,2024年2季度
8,600845,宝信软件,股吧行情,4.01%,52.82,1686.43,2024年2季度
9,300017,网宿科技,股吧行情,2.61%,138.95,1097.71,2024年2季度
10,300002,神州泰岳,股吧行情,2.32%,120.44,977.97,2024年2季度
1,2230,科大讯飞,股吧行情,8.87%,90.26,4397.43,2024年1季度
2,300308,中际旭创,股吧行情,8.48%,26.85,4203.64,2024年1季度
3,688111,金山办公,股吧行情,7.77%,13.25,3855.2,2024年1季度
4,603019,中科曙光,股吧行情,5.91%,61.37,2930.2,2024年1季度
5,938,紫光股份,股吧行情,4.70%,107.28,2329.15,2024年1季度
6,300502,新易盛,股吧行情,4.60%,34.07,2282.56,2024年1季度
7,977,浪潮信息,股吧行情,4.55%,52.65,2258.84,2024年1季度
8,300017,网宿科技,股吧行情,3.17%,169.02,1571.89,2024年1季度
9,300002,神州泰岳,股吧行情,2.69%,142.14,1331.85,2024年1季度
10,2261,拓维信息,股吧行情,2.51%,82.85,1242.75,2024年1季度
