序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688256,寒武纪,,,变动详情股吧行情,7.00%,11.15,6707.21,2025年2季度
2,603986,兆易创新,,,变动详情股吧行情,6.36%,48.19,6097.48,2025年2季度
3,700,腾讯控股,,,变动详情股吧行情,6.14%,12.84,5889.84,2025年2季度
4,9988,阿里巴巴-W,,,变动详情股吧行情,4.97%,47.59,4765.39,2025年2季度
5,1357,美图公司,,,变动详情股吧行情,3.75%,436.25,3590.34,2025年2季度
6,1024,快手-W,,,变动详情股吧行情,3.04%,50.54,2917.67,2025年2季度
7,1801,信达生物,,,变动详情股吧行情,2.95%,39.5,2824.25,2025年2季度
8,1810,小米集团-W,,,变动详情股吧行情,2.89%,50.68,2770.68,2025年2季度
9,981,中芯国际,,,变动详情股吧行情,2.69%,63.25,2577.96,2025年2季度
10,603918,金桥信息,,,变动详情股吧行情,2.40%,115.07,2300.25,2025年2季度
1,9988,阿里巴巴-W,,,股吧行情,8.49%,77.34,9135.4,2025年1季度
2,700,腾讯控股,,,股吧行情,7.82%,18.35,8416.23,2025年1季度
3,688256,寒武纪,,,股吧行情,6.85%,11.82,7363.11,2025年1季度
4,603986,兆易创新,,,股吧行情,4.23%,38.91,4547.8,2025年1季度
5,688041,海光信息,,,股吧行情,3.97%,30.25,4274.2,2025年1季度
6,981,中芯国际,,,股吧行情,3.93%,99.47,4231.52,2025年1季度
7,688279,峰岹科技,,,股吧行情,3.67%,16.9,3952.06,2025年1季度
8,688486,龙迅股份,,,股吧行情,2.99%,29.58,3214.89,2025年1季度
9,688475,萤石网络,,,股吧行情,2.17%,60.83,2338.35,2025年1季度
10,688037,芯源微,,,股吧行情,1.96%,21.45,2108.9,2025年1季度
