序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,9992,泡泡玛特,,,变动详情股吧行情,8.45%,9.7,2358.32,2025年2季度
2,6181,老铺黄金,,,变动详情股吧行情,6.55%,1.99,1829.3,2025年2季度
3,600418,江淮汽车,,,变动详情股吧行情,6.00%,41.78,1674.96,2025年2季度
4,2940,昂利康,,,变动详情股吧行情,5.68%,42.7,1584.6,2025年2季度
5,688084,晶品特装,,,变动详情股吧行情,4.70%,14.91,1312.03,2025年2季度
6,3939,万国黄金集团,,,变动详情股吧行情,4.26%,41.6,1189.33,2025年2季度
7,2026,山东威达,,,变动详情股吧行情,3.82%,87.89,1067.86,2025年2季度
8,603129,春风动力,,,变动详情股吧行情,3.75%,4.83,1045.7,2025年2季度
9,688159,有方科技,,,变动详情股吧行情,3.74%,14.56,1043.29,2025年2季度
10,2727,一心堂,,,变动详情股吧行情,3.51%,60.03,980.89,2025年2季度
1,9992,泡泡玛特,,,股吧行情,9.74%,10.6,1530.88,2025年1季度
2,6181,老铺黄金,,,股吧行情,6.38%,1.49,1002.39,2025年1季度
3,688084,晶品特装,,,股吧行情,5.90%,14.91,927.07,2025年1季度
4,1686,新意网集团,,,股吧行情,5.68%,141.1,891.95,2025年1季度
5,2034,旺能环境,,,股吧行情,5.36%,45.5,842.21,2025年1季度
6,9988,阿里巴巴-W,,,股吧行情,5.32%,7.08,836.31,2025年1季度
7,301109,军信股份,,,股吧行情,5.19%,42.44,814.75,2025年1季度
8,603275,众辰科技,,,股吧行情,4.83%,18.98,759.01,2025年1季度
9,2048,宁波华翔,,,股吧行情,4.70%,46.64,738.31,2025年1季度
10,1357,美图公司,,,股吧行情,4.43%,138.45,696.32,2025年1季度
