序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688235,百济神州,股吧行情,9.64%,50.0,8051.0,2024年4季度
2,300454,深信服,股吧行情,9.17%,133.33,7653.22,2024年4季度
3,688256,寒武纪,股吧行情,7.88%,10.0,6580.0,2024年4季度
4,600588,用友网络,股吧行情,7.71%,600.0,6438.01,2024年4季度
5,2230,科大讯飞,股吧行情,7.52%,130.0,6281.6,2024年4季度
6,688428,诺诚健华,股吧行情,7.35%,500.0,6140.0,2024年4季度
7,688114,华大智造,股吧行情,7.29%,130.0,6082.7,2024年4季度
8,603893,瑞芯微,股吧行情,6.59%,50.0,5503.0,2024年4季度
9,300676,华大基因,股吧行情,6.54%,130.01,5456.39,2024年4季度
10,688536,思瑞浦,股吧行情,5.54%,50.0,4625.0,2024年4季度
1,300454,深信服,股吧行情,9.70%,150.0,10537.6,2024年3季度
2,300676,华大基因,股吧行情,8.73%,200.01,9482.32,2024年3季度
3,688235,百济神州,股吧行情,8.31%,50.0,9023.0,2024年3季度
4,688256,寒武纪,股吧行情,7.99%,30.0,8674.8,2024年3季度
5,688536,思瑞浦,股吧行情,7.44%,80.0,8076.8,2024年3季度
6,688114,华大智造,股吧行情,7.04%,150.0,7648.5,2024年3季度
7,300661,圣邦股份,股吧行情,7.00%,80.01,7600.67,2024年3季度
8,600588,用友网络,股吧行情,6.71%,633.33,7283.3,2024年3季度
9,688428,诺诚健华,股吧行情,5.96%,500.0,6470.0,2024年3季度
10,688728,格科微,股吧行情,5.42%,400.0,5892.0,2024年3季度
1,688235,百济神州,股吧行情,9.30%,70.0,8108.8,2024年2季度
2,688256,寒武纪,股吧行情,9.12%,40.0,7946.8,2024年2季度
3,300676,华大基因,股吧行情,8.04%,200.01,7002.24,2024年2季度
4,300454,深信服,股吧行情,7.73%,133.33,6737.24,2024年2季度
5,300661,圣邦股份,股吧行情,7.60%,80.01,6622.82,2024年2季度
6,600588,用友网络,股吧行情,7.27%,633.33,6333.31,2024年2季度
7,688114,华大智造,股吧行情,7.07%,130.0,6163.3,2024年2季度
8,2230,科大讯飞,股吧行情,5.91%,120.0,5154.0,2024年2季度
9,688536,思瑞浦,股吧行情,5.61%,50.0,4890.5,2024年2季度
10,688012,中微公司,股吧行情,4.86%,30.0,4237.8,2024年2季度
1,688235,百济神州,股吧行情,9.58%,70.0,9254.0,2024年1季度
2,300454,深信服,股吧行情,8.56%,133.33,8266.55,2024年1季度
3,300676,华大基因,股吧行情,8.48%,200.01,8186.28,2024年1季度
4,600588,用友网络,股吧行情,7.84%,633.33,7568.3,2024年1季度
5,688114,华大智造,股吧行情,7.35%,120.0,7096.8,2024年1季度
6,688536,思瑞浦,股吧行情,6.36%,60.0,6144.0,2024年1季度
7,688012,中微公司,股吧行情,6.19%,40.0,5972.0,2024年1季度
8,2230,科大讯飞,股吧行情,6.05%,120.0,5846.4,2024年1季度
9,688428,诺诚健华,股吧行情,5.92%,600.0,5712.0,2024年1季度
10,688728,格科微,股吧行情,5.19%,300.0,5010.0,2024年1季度
