序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2600,领益智造,股吧行情,0.07%,14.19,95.92,2023年4季度
2,2340,格林美,股吧行情,0.05%,13.5,73.71,2023年4季度
3,2202,金风科技,股吧行情,0.05%,8.5,68.0,2023年4季度
4,2240,盛新锂能,股吧行情,0.04%,2.73,62.11,2023年4季度
5,831,中国稀土,股吧行情,0.04%,2.22,61.43,2023年4季度
6,300748,金力永磁,股吧行情,0.04%,2.59,52.41,2023年4季度
7,2249,大洋电机,股吧行情,0.03%,8.41,41.8,2023年4季度
8,2056,横店东磁,股吧行情,0.03%,3.07,41.57,2023年4季度
9,970,中科三环,股吧行情,0.03%,3.68,38.09,2023年4季度
10,969,安泰科技,股吧行情,0.02%,3.7,33.26,2023年4季度
1,2340,格林美,股吧行情,0.05%,13.5,82.22,2023年3季度
2,2600,领益智造,股吧行情,0.05%,14.19,81.17,2023年3季度
3,2202,金风科技,股吧行情,0.05%,8.5,78.46,2023年3季度
4,831,中国稀土,股吧行情,0.04%,2.22,63.91,2023年3季度
5,600111,北方稀土,股吧行情,0.04%,2.87,62.54,2023年3季度
6,2240,盛新锂能,股吧行情,0.04%,2.73,61.04,2023年3季度
7,2056,横店东磁,股吧行情,0.03%,3.07,50.16,2023年3季度
8,2249,大洋电机,股吧行情,0.03%,8.41,44.32,2023年3季度
9,300748,金力永磁,股吧行情,0.03%,2.59,43.13,2023年3季度
10,970,中科三环,股吧行情,0.03%,3.68,40.04,2023年3季度
1,600111,北方稀土,股吧行情,0.10%,6.86,164.5,2023年2季度
2,601600,中国铝业,股吧行情,0.05%,16.92,92.89,2023年2季度
3,600010,包钢股份,股吧行情,0.04%,40.11,71.8,2023年2季度
4,600549,厦门钨业,股吧行情,0.04%,3.58,68.12,2023年2季度
5,600392,盛和资源,股吧行情,0.03%,4.4,56.63,2023年2季度
6,600580,卧龙电驱,股吧行情,0.03%,3.86,56.38,2023年2季度
7,600416,湘电股份,股吧行情,0.03%,2.77,52.88,2023年2季度
8,600330,天通股份,股吧行情,0.02%,3.61,43.03,2023年2季度
9,600478,科力远,股吧行情,0.02%,5.65,40.34,2023年2季度
10,601908,京运通,股吧行情,0.02%,6.08,36.77,2023年2季度
