序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,601058,赛轮轮胎,股吧行情,9.72%,34.97,410.9,2023年4季度
2,1309,德明利,股吧行情,9.63%,4.29,407.08,2023年4季度
3,301308,江波龙,股吧行情,9.08%,4.17,383.85,2023年4季度
4,300302,同有科技,股吧行情,8.68%,27.1,366.93,2023年4季度
5,2273,水晶光电,股吧行情,6.16%,19.24,260.51,2023年4季度
6,688789,宏华数科,股吧行情,5.59%,2.36,236.2,2023年4季度
7,601168,西部矿业,股吧行情,4.96%,14.7,209.77,2023年4季度
8,688110,东芯股份,股吧行情,4.61%,5.67,195.06,2023年4季度
9,688416,恒烁股份,股吧行情,3.58%,2.58,151.36,2023年4季度
10,601598,中国外运,股吧行情,3.45%,27.81,145.72,2023年4季度
