序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2230,科大讯飞,,,变动详情股吧行情,8.46%,116.53,5579.42,2025年2季度
2,300502,新易盛,,,变动详情股吧行情,6.61%,34.34,4362.27,2025年2季度
3,300308,中际旭创,,,变动详情股吧行情,6.32%,28.58,4169.26,2025年2季度
4,688111,金山办公,,,变动详情股吧行情,5.09%,11.98,3355.5,2025年2季度
5,603019,中科曙光,,,变动详情股吧行情,4.85%,45.49,3202.17,2025年2季度
6,938,紫光股份,,,变动详情股吧行情,4.56%,125.45,3009.66,2025年2季度
7,977,浪潮信息,,,变动详情股吧行情,4.50%,58.37,2969.65,2025年2季度
8,600570,恒生电子,,,变动详情股吧行情,3.55%,69.74,2339.22,2025年2季度
9,300339,润和软件,,,变动详情股吧行情,3.29%,42.74,2172.47,2025年2季度
10,300442,润泽科技,,,变动详情股吧行情,2.97%,39.62,1962.38,2025年2季度
1,2230,科大讯飞,,,股吧行情,6.61%,101.46,4826.41,2025年1季度
2,688111,金山办公,,,股吧行情,6.32%,15.43,4615.48,2025年1季度
3,300502,新易盛,,,股吧行情,4.71%,35.03,3436.95,2025年1季度
4,977,浪潮信息,,,股吧行情,4.35%,59.42,3177.98,2025年1季度
5,938,紫光股份,,,股吧行情,4.32%,115.05,3154.8,2025年1季度
6,603019,中科曙光,,,股吧行情,3.44%,37.81,2508.77,2025年1季度
7,300002,神州泰岳,,,股吧行情,3.19%,175.87,2325.0,2025年1季度
8,600570,恒生电子,,,股吧行情,3.11%,80.88,2267.82,2025年1季度
9,300308,中际旭创,,,股吧行情,3.01%,22.3,2200.07,2025年1季度
10,300339,润和软件,,,股吧行情,2.91%,40.94,2125.6,2025年1季度
