序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2230,科大讯飞,股吧行情,7.58%,67.72,3140.82,2023年4季度
2,300308,中际旭创,股吧行情,7.16%,26.28,2967.27,2023年4季度
3,688111,金山办公,股吧行情,6.25%,8.19,2589.08,2023年4季度
4,600570,恒生电子,股吧行情,5.36%,77.25,2221.66,2023年4季度
5,603019,中科曙光,股吧行情,3.81%,39.96,1577.84,2023年4季度
6,938,紫光股份,股吧行情,3.62%,77.51,1499.91,2023年4季度
7,600845,宝信软件,股吧行情,3.12%,26.48,1292.25,2023年4季度
8,300502,新易盛,股吧行情,2.96%,24.9,1227.97,2023年4季度
9,300454,深信服,股吧行情,2.94%,16.83,1216.71,2023年4季度
10,300002,神州泰岳,股吧行情,2.82%,132.08,1168.91,2023年4季度
1,2230,科大讯飞,股吧行情,8.60%,74.13,3755.43,2023年3季度
2,600570,恒生电子,股吧行情,6.54%,88.03,2856.52,2023年3季度
3,688111,金山办公,股吧行情,6.27%,7.39,2739.51,2023年3季度
4,300308,中际旭创,股吧行情,6.05%,22.82,2642.56,2023年3季度
5,603019,中科曙光,股吧行情,5.54%,62.74,2417.82,2023年3季度
6,938,紫光股份,股吧行情,5.22%,96.81,2281.92,2023年3季度
7,977,浪潮信息,股吧行情,3.81%,44.22,1663.25,2023年3季度
8,300454,深信服,股吧行情,3.48%,16.31,1521.98,2023年3季度
9,300002,神州泰岳,股吧行情,2.90%,125.93,1266.86,2023年3季度
10,2439,启明星辰,股吧行情,2.83%,43.7,1234.09,2023年3季度
1,2230,科大讯飞,股吧行情,9.10%,70.69,4804.09,2023年2季度
2,938,紫光股份,股吧行情,7.68%,127.33,4055.45,2023年2季度
3,688111,金山办公,股吧行情,7.05%,7.88,3721.8,2023年2季度
4,600570,恒生电子,股吧行情,6.28%,74.85,3315.03,2023年2季度
5,300308,中际旭创,股吧行情,5.51%,19.73,2909.19,2023年2季度
6,603019,中科曙光,股吧行情,4.85%,50.35,2562.58,2023年2季度
7,977,浪潮信息,股吧行情,4.58%,49.85,2417.9,2023年2季度
8,2410,广联达,股吧行情,3.52%,57.27,1860.62,2023年2季度
9,300002,神州泰岳,股吧行情,3.24%,122.23,1711.22,2023年2季度
10,300454,深信服,股吧行情,2.93%,13.66,1547.11,2023年2季度
1,600570,恒生电子,股吧行情,8.60%,93.95,4999.92,2023年1季度
2,2230,科大讯飞,股吧行情,8.35%,76.24,4854.96,2023年1季度
3,2410,广联达,股吧行情,7.13%,55.82,4147.08,2023年1季度
4,688111,金山办公,股吧行情,6.60%,8.12,3840.9,2023年1季度
5,300454,深信服,股吧行情,4.94%,19.41,2872.05,2023年1季度
6,600845,宝信软件,股吧行情,4.38%,43.82,2550.06,2023年1季度
7,938,紫光股份,股吧行情,4.05%,80.49,2357.54,2023年1季度
8,300308,中际旭创,股吧行情,3.54%,34.97,2059.73,2023年1季度
9,600588,用友网络,股吧行情,2.90%,67.03,1685.91,2023年1季度
10,2396,星网锐捷,股吧行情,2.73%,66.93,1584.9,2023年1季度
