序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688235,百济神州,,,变动详情股吧行情,8.38%,75.0,17523.0,2025年2季度
2,300454,深信服,,,变动详情股吧行情,8.26%,183.33,17266.15,2025年2季度
3,2230,科大讯飞,,,变动详情股吧行情,8.02%,350.01,16758.24,2025年2季度
4,603893,瑞芯微,,,变动详情股吧行情,7.26%,100.0,15186.0,2025年2季度
5,688331,荣昌生物,,,变动详情股吧行情,7.23%,250.0,15125.0,2025年2季度
6,688256,寒武纪,,,变动详情股吧行情,7.19%,25.0,15037.5,2025年2季度
7,688428,诺诚健华,,,变动详情股吧行情,7.01%,600.0,14658.0,2025年2季度
8,300661,圣邦股份,,,变动详情股吧行情,6.96%,200.01,14554.42,2025年2季度
9,688536,思瑞浦,,,变动详情股吧行情,6.63%,100.0,13872.0,2025年2季度
10,600588,用友网络,,,变动详情股吧行情,6.39%,1000.0,13370.03,2025年2季度
1,603893,瑞芯微,,,股吧行情,9.12%,100.0,17330.0,2025年1季度
2,688235,百济神州,,,股吧行情,8.80%,70.0,16718.8,2025年1季度
3,300454,深信服,,,股吧行情,8.64%,153.33,16423.33,2025年1季度
4,688428,诺诚健华,,,股吧行情,7.88%,800.0,14968.0,2025年1季度
5,688256,寒武纪,,,股吧行情,7.65%,23.33,14536.46,2025年1季度
6,2230,科大讯飞,,,股吧行情,7.51%,300.0,14271.0,2025年1季度
7,688536,思瑞浦,,,股吧行情,7.46%,120.0,14182.8,2025年1季度
8,300661,圣邦股份,,,股吧行情,6.89%,150.01,13089.64,2025年1季度
9,688114,华大智造,,,股吧行情,6.18%,150.0,11737.5,2025年1季度
10,688012,中微公司,,,股吧行情,5.82%,60.0,11061.6,2025年1季度
