序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,601908,京运通,股吧行情,0.05%,0.78,3.56,2023年4季度
2,300811,铂科新材,股吧行情,0.02%,0.03,1.58,2023年4季度
3,601600,中国铝业,股吧行情,0.02%,0.21,1.18,2023年4季度
4,600259,广晟有色,股吧行情,0.01%,0.03,1.06,2023年4季度
5,600980,北矿科技,股吧行情,0.01%,0.06,1.06,2023年4季度
6,600549,厦门钨业,股吧行情,0.01%,0.06,1.03,2023年4季度
7,600416,湘电股份,股吧行情,0.01%,0.06,0.95,2023年4季度
8,600392,盛和资源,股吧行情,0.01%,0.09,0.92,2023年4季度
9,600206,有研新材,股吧行情,0.01%,0.06,0.74,2023年4季度
10,600580,卧龙电驱,股吧行情,0.01%,0.06,0.7,2023年4季度
1,601908,京运通,股吧行情,0.05%,0.78,3.81,2023年3季度
2,300811,铂科新材,股吧行情,0.02%,0.03,1.36,2023年3季度
3,601600,中国铝业,股吧行情,0.02%,0.21,1.32,2023年3季度
4,600259,广晟有色,股吧行情,0.01%,0.03,1.03,2023年3季度
5,600549,厦门钨业,股吧行情,0.01%,0.06,1.03,2023年3季度
6,600392,盛和资源,股吧行情,0.01%,0.09,0.98,2023年3季度
7,600416,湘电股份,股吧行情,0.01%,0.06,0.96,2023年3季度
8,600980,北矿科技,股吧行情,0.01%,0.06,0.95,2023年3季度
9,600206,有研新材,股吧行情,0.01%,0.06,0.72,2023年3季度
10,600580,卧龙电驱,股吧行情,0.01%,0.06,0.72,2023年3季度
1,601908,京运通,股吧行情,0.05%,0.78,4.72,2023年2季度
2,300811,铂科新材,股吧行情,0.02%,0.03,1.78,2023年2季度
3,600392,盛和资源,股吧行情,0.01%,0.09,1.16,2023年2季度
4,601600,中国铝业,股吧行情,0.01%,0.21,1.15,2023年2季度
5,600416,湘电股份,股吧行情,0.01%,0.06,1.15,2023年2季度
6,600549,厦门钨业,股吧行情,0.01%,0.06,1.14,2023年2季度
7,600259,广晟有色,股吧行情,0.01%,0.03,1.08,2023年2季度
8,600980,北矿科技,股吧行情,0.01%,0.06,0.95,2023年2季度
9,600580,卧龙电驱,股吧行情,0.01%,0.06,0.88,2023年2季度
10,600206,有研新材,股吧行情,0.01%,0.06,0.79,2023年2季度
1,601908,京运通,股吧行情,0.05%,0.75,4.94,2023年1季度
2,300811,铂科新材,股吧行情,0.02%,0.02,1.49,2023年1季度
3,601600,中国铝业,股吧行情,0.01%,0.18,0.99,2023年1季度
4,600392,盛和资源,股吧行情,0.01%,0.06,0.85,2023年1季度
5,600416,湘电股份,股吧行情,0.01%,0.03,0.62,2023年1季度
6,600549,厦门钨业,股吧行情,0.01%,0.03,0.61,2023年1季度
7,600206,有研新材,股吧行情,0.00%,0.03,0.45,2023年1季度
8,600980,北矿科技,股吧行情,0.00%,0.03,0.45,2023年1季度
9,600580,卧龙电驱,股吧行情,0.00%,0.03,0.38,2023年1季度
10,600330,天通股份,股吧行情,0.00%,0.03,0.35,2023年1季度
