序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2162,康诺亚-B,股吧行情,8.32%,30.97,886.1,2024年4季度
2,9926,康方生物,股吧行情,8.27%,15.67,880.6,2024年4季度
3,13,和黄医药,股吧行情,8.19%,41.75,871.83,2024年4季度
4,1801,信达生物,股吧行情,8.19%,25.72,871.73,2024年4季度
5,6160,百济神州,股吧行情,8.14%,8.58,867.27,2024年4季度
6,9995,荣昌生物,股吧行情,8.10%,64.7,862.77,2024年4季度
7,3692,翰森制药,股吧行情,8.03%,53.46,855.52,2024年4季度
8,6990,科伦博泰生物-B,股吧行情,7.94%,5.59,845.33,2024年4季度
9,1177,中国生物制药,股吧行情,4.20%,150.96,447.34,2024年4季度
10,9969,诺诚健华,股吧行情,4.15%,78.0,442.05,2024年4季度
1,9995,荣昌生物,股吧行情,9.84%,51.05,787.22,2024年3季度
2,6990,科伦博泰生物-B,股吧行情,8.69%,4.19,694.87,2024年3季度
3,13,和黄医药,股吧行情,8.10%,22.3,647.54,2024年3季度
4,6160,百济神州,股吧行情,7.99%,4.9,638.91,2024年3季度
5,9926,康方生物,股吧行情,7.94%,10.27,635.09,2024年3季度
6,1801,信达生物,股吧行情,7.92%,14.92,633.72,2024年3季度
7,2162,康诺亚-B,股吧行情,7.86%,16.72,628.63,2024年3季度
8,3692,翰森制药,股吧行情,7.76%,32.86,620.87,2024年3季度
9,1548,金斯瑞生物科技,股吧行情,4.35%,27.7,348.24,2024年3季度
10,9969,诺诚健华,股吧行情,4.22%,55.5,337.33,2024年3季度
1,6990,科伦博泰生物-B,股吧行情,8.97%,3.29,497.85,2024年2季度
2,3692,翰森制药,股吧行情,8.64%,32.22,479.86,2024年2季度
3,9926,康方生物,股吧行情,8.60%,13.87,477.74,2024年2季度
4,2162,康诺亚-B,股吧行情,8.55%,15.42,474.88,2024年2季度
5,1801,信达生物,股吧行情,8.39%,13.87,465.79,2024年2季度
6,13,和黄医药,股吧行情,8.20%,18.15,455.54,2024年2季度
7,9995,荣昌生物,股吧行情,7.99%,19.85,443.86,2024年2季度
8,6160,百济神州,股吧行情,7.83%,5.53,434.77,2024年2季度
9,1548,金斯瑞生物科技,股吧行情,4.38%,32.0,242.99,2024年2季度
10,1177,中国生物制药,股吧行情,4.33%,98.76,240.66,2024年2季度
1,6990,科伦博泰生物-B,股吧行情,8.71%,2.31,324.59,2024年1季度
2,9995,荣昌生物,股吧行情,8.59%,13.0,319.97,2024年1季度
3,1801,信达生物,股吧行情,8.58%,9.35,319.55,2024年1季度
4,2162,康诺亚-B,股吧行情,8.37%,10.15,311.93,2024年1季度
5,6160,百济神州,股吧行情,8.35%,3.61,311.23,2024年1季度
6,13,和黄医药,股吧行情,8.33%,12.8,310.4,2024年1季度
7,9926,康方生物,股吧行情,8.17%,7.2,304.49,2024年1季度
8,3692,翰森制药,股吧行情,6.55%,17.4,244.18,2024年1季度
9,1177,中国生物制药,股吧行情,4.06%,55.2,151.13,2024年1季度
10,1548,金斯瑞生物科技,股吧行情,3.95%,11.2,147.22,2024年1季度
