序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688213,思特威,,,变动详情股吧行情,9.74%,95.63,9775.75,2025年2季度
2,688608,恒玄科技,,,变动详情股吧行情,8.55%,24.68,8587.76,2025年2季度
3,688458,美芯晟,,,变动详情股吧行情,8.19%,174.39,8224.39,2025年2季度
4,688286,敏芯股份,,,变动详情股吧行情,8.03%,114.11,8066.46,2025年2季度
5,688332,中科蓝讯,,,变动详情股吧行情,6.93%,67.52,6960.14,2025年2季度
6,688049,炬芯科技,,,变动详情股吧行情,6.76%,112.23,6789.7,2025年2季度
7,688595,芯海科技,,,变动详情股吧行情,4.23%,113.54,4245.2,2025年2季度
8,688601,力芯微,,,变动详情股吧行情,4.03%,101.35,4048.89,2025年2季度
9,688239,航宇科技,,,变动详情股吧行情,3.93%,112.84,3947.09,2025年2季度
10,603893,瑞芯微,,,变动详情股吧行情,3.01%,19.92,3024.76,2025年2季度
1,688608,恒玄科技,,,股吧行情,9.68%,23.5,9548.05,2025年1季度
2,688213,思特威,,,股吧行情,9.45%,96.0,9315.84,2025年1季度
3,688332,中科蓝讯,,,股吧行情,9.41%,68.3,9274.43,2025年1季度
4,688286,敏芯股份,,,股吧行情,8.34%,116.03,8224.5,2025年1季度
5,688458,美芯晟,,,股吧行情,6.36%,172.59,6272.04,2025年1季度
6,688595,芯海科技,,,股吧行情,4.71%,119.82,4642.99,2025年1季度
7,688601,力芯微,,,股吧行情,4.48%,110.0,4419.8,2025年1季度
8,688049,炬芯科技,,,股吧行情,4.21%,86.75,4151.93,2025年1季度
9,688239,航宇科技,,,股吧行情,3.81%,87.89,3759.93,2025年1季度
10,688361,中科飞测,,,股吧行情,3.33%,41.38,3286.02,2025年1季度
