序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688046,药康生物,股吧行情,8.06%,90.77,1829.11,2023年4季度
2,600809,山西汾酒,股吧行情,7.96%,7.83,1806.62,2023年4季度
3,603707,健友股份,股吧行情,7.78%,117.67,1765.05,2023年4季度
4,603225,新凤鸣,股吧行情,7.67%,122.61,1740.99,2023年4季度
5,300408,三环集团,股吧行情,7.45%,57.44,1691.61,2023年4季度
6,688052,纳芯微,股吧行情,7.43%,10.1,1685.19,2023年4季度
7,300661,圣邦股份,股吧行情,6.86%,17.49,1556.61,2023年4季度
8,2648,卫星化学,股吧行情,6.70%,103.16,1521.54,2023年4季度
9,688728,格科微,股吧行情,6.01%,66.58,1362.8,2023年4季度
10,568,泸州老窖,股吧行情,5.70%,7.21,1293.62,2023年4季度
1,603225,新凤鸣,股吧行情,9.04%,97.4,1280.74,2023年3季度
2,603707,健友股份,股吧行情,8.30%,92.6,1175.09,2023年3季度
3,603477,巨星农牧,股吧行情,7.90%,40.72,1118.58,2023年3季度
4,603605,珀莱雅,股吧行情,6.98%,9.73,988.77,2023年3季度
5,300408,三环集团,股吧行情,6.64%,30.35,940.85,2023年3季度
6,601233,桐昆股份,股吧行情,6.15%,59.04,870.84,2023年3季度
7,300661,圣邦股份,股吧行情,6.04%,11.01,856.09,2023年3季度
8,605499,东鹏饮料,股吧行情,5.90%,4.57,835.72,2023年3季度
9,688526,科前生物,股吧行情,5.12%,35.05,724.88,2023年3季度
10,300037,新宙邦,股吧行情,4.88%,15.76,690.6,2023年3季度
1,600872,中炬高新,股吧行情,8.82%,36.47,1341.73,2023年2季度
2,603225,新凤鸣,股吧行情,8.62%,118.58,1310.25,2023年2季度
3,603605,珀莱雅,股吧行情,8.37%,11.32,1272.59,2023年2季度
4,601233,桐昆股份,股吧行情,6.21%,71.26,944.2,2023年2季度
5,603983,丸美股份,股吧行情,6.09%,28.64,926.5,2023年2季度
6,2271,东方雨虹,股吧行情,5.20%,29.02,791.09,2023年2季度
7,600079,人福医药,股吧行情,5.16%,29.14,784.96,2023年2季度
8,300408,三环集团,股吧行情,4.81%,24.95,732.28,2023年2季度
9,300661,圣邦股份,股吧行情,4.39%,8.14,668.37,2023年2季度
10,301101,明月镜片,股吧行情,4.31%,15.98,655.64,2023年2季度
1,603369,今世缘,股吧行情,8.61%,26.95,1747.71,2023年1季度
2,568,泸州老窖,股吧行情,8.48%,6.75,1719.83,2023年1季度
3,603225,新凤鸣,股吧行情,8.03%,150.25,1630.16,2023年1季度
4,2271,东方雨虹,股吧行情,7.90%,47.88,1603.02,2023年1季度
5,600872,中炬高新,股吧行情,7.79%,42.61,1580.83,2023年1季度
6,603737,三棵树,股吧行情,6.02%,10.5,1222.31,2023年1季度
7,603477,巨星农牧,股吧行情,6.00%,40.14,1217.45,2023年1季度
8,603983,丸美股份,股吧行情,5.95%,31.67,1208.21,2023年1季度
9,2567,唐人神,股吧行情,4.22%,105.06,857.29,2023年1季度
10,600079,人福医药,股吧行情,4.02%,30.49,816.45,2023年1季度
