序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688270,臻镭科技,,,变动详情股吧行情,10.22%,262.0,12198.72,2025年2季度
2,688615,合合信息,,,变动详情股吧行情,10.18%,77.0,12159.07,2025年2季度
3,688515,裕太微,,,变动详情股吧行情,10.13%,132.0,12091.2,2025年2季度
4,688088,虹软科技,,,变动详情股吧行情,10.08%,249.5,12038.38,2025年2季度
5,688486,龙迅股份,,,变动详情股吧行情,10.03%,179.0,11971.52,2025年2季度
6,688582,芯动联科,,,变动详情股吧行情,10.02%,178.0,11961.6,2025年2季度
7,688279,峰岹科技,,,变动详情股吧行情,9.94%,64.0,11872.0,2025年2季度
8,688608,恒玄科技,,,变动详情股吧行情,9.91%,34.0,11831.32,2025年2季度
9,688049,炬芯科技,,,变动详情股吧行情,9.83%,194.0,11737.0,2025年2季度
10,688385,复旦微电,,,变动详情股吧行情,4.13%,100.0,4927.0,2025年2季度
1,688608,恒玄科技,,,股吧行情,10.45%,24.0,9751.2,2025年1季度
2,688049,炬芯科技,,,股吧行情,10.15%,198.0,9476.28,2025年1季度
3,688486,龙迅股份,,,股吧行情,10.13%,87.0,9456.9,2025年1季度
4,688088,虹软科技,,,股吧行情,9.99%,200.0,9324.0,2025年1季度
5,688515,裕太微,,,股吧行情,9.90%,93.0,9237.69,2025年1季度
6,688615,合合信息,,,股吧行情,9.88%,43.0,9219.2,2025年1季度
7,688582,芯动联科,,,股吧行情,9.87%,151.0,9211.0,2025年1季度
8,688270,臻镭科技,,,股吧行情,9.87%,240.0,9208.8,2025年1季度
9,688279,峰岹科技,,,股吧行情,9.77%,39.0,9121.71,2025年1季度
10,688118,普元信息,,,股吧行情,4.24%,160.0,3958.4,2025年1季度
