序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,301269,华大九天,股吧行情,7.09%,26.88,3255.17,2024年4季度
2,2920,德赛西威,股吧行情,5.62%,23.43,2579.88,2024年4季度
3,2475,立讯精密,股吧行情,5.00%,56.36,2297.23,2024年4季度
4,2384,东山精密,股吧行情,4.90%,77.01,2248.55,2024年4季度
5,300033,同花顺,股吧行情,4.24%,6.78,1949.25,2024年4季度
6,2027,分众传媒,股吧行情,4.24%,276.8,1945.9,2024年4季度
7,2415,海康威视,股吧行情,4.19%,62.71,1925.2,2024年4季度
8,100,TCL科技,股吧行情,3.90%,356.38,1792.59,2024年4季度
9,300369,绿盟科技,股吧行情,3.75%,239.59,1722.65,2024年4季度
10,688052,纳芯微,股吧行情,3.69%,13.0,1693.9,2024年4季度
1,300661,圣邦股份,股吧行情,7.87%,24.6,2337.29,2024年3季度
2,688041,海光信息,股吧行情,7.16%,20.59,2126.62,2024年3季度
3,688052,纳芯微,股吧行情,6.25%,15.64,1857.65,2024年3季度
4,300378,鼎捷数智,股吧行情,5.03%,65.84,1493.25,2024年3季度
5,688019,安集科技,股吧行情,4.92%,10.45,1462.63,2024年3季度
6,2920,德赛西威,股吧行情,4.86%,12.05,1443.47,2024年3季度
7,688111,金山办公,股吧行情,4.52%,5.04,1343.75,2024年3季度
8,688095,福昕软件,股吧行情,4.21%,18.7,1250.2,2024年3季度
9,301269,华大九天,股吧行情,4.14%,13.23,1230.52,2024年3季度
10,603444,吉比特,股吧行情,4.09%,4.98,1216.12,2024年3季度
1,300661,圣邦股份,股吧行情,7.59%,24.26,2008.49,2024年2季度
2,688052,纳芯微,股吧行情,6.48%,16.68,1714.75,2024年2季度
3,2475,立讯精密,股吧行情,6.37%,42.89,1686.01,2024年2季度
4,688981,中芯国际,股吧行情,5.19%,29.82,1374.56,2024年2季度
5,603986,兆易创新,股吧行情,5.03%,13.93,1332.23,2024年2季度
6,300054,鼎龙股份,股吧行情,4.33%,50.56,1146.7,2024年2季度
7,300433,蓝思科技,股吧行情,4.32%,62.64,1143.18,2024年2季度
8,688019,安集科技,股吧行情,4.13%,8.69,1093.59,2024年2季度
9,688347,华虹公司,股吧行情,3.96%,29.26,1049.01,2024年2季度
10,2371,北方华创,股吧行情,3.58%,2.96,946.87,2024年2季度
1,100,TCL科技,股吧行情,6.03%,394.09,1840.4,2024年1季度
2,2463,沪电股份,股吧行情,5.26%,53.23,1606.48,2024年1季度
3,688111,金山办公,股吧行情,4.10%,4.31,1252.81,2024年1季度
4,2436,兴森科技,股吧行情,3.94%,98.01,1203.56,2024年1季度
5,300687,赛意信息,股吧行情,3.86%,63.97,1176.97,2024年1季度
6,688083,中望软件,股吧行情,3.50%,13.78,1067.29,2024年1季度
7,2475,立讯精密,股吧行情,3.46%,35.97,1057.88,2024年1季度
8,2920,德赛西威,股吧行情,3.37%,8.26,1028.45,2024年1季度
9,688187,时代电气,股吧行情,3.28%,21.08,1001.4,2024年1季度
10,300661,圣邦股份,股吧行情,3.05%,14.34,932.58,2024年1季度
