序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,603225,新凤鸣,股吧行情,9.10%,148.54,2109.31,2023年4季度
2,600809,山西汾酒,股吧行情,8.28%,8.32,1919.67,2023年4季度
3,300408,三环集团,股吧行情,8.20%,64.53,1900.41,2023年4季度
4,688046,药康生物,股吧行情,8.04%,92.43,1862.54,2023年4季度
5,688052,纳芯微,股吧行情,7.77%,10.79,1800.98,2023年4季度
6,603707,健友股份,股吧行情,7.59%,117.32,1759.76,2023年4季度
7,300661,圣邦股份,股吧行情,7.32%,19.07,1697.62,2023年4季度
8,2648,卫星化学,股吧行情,6.44%,101.22,1492.97,2023年4季度
9,688728,格科微,股吧行情,6.37%,72.09,1475.61,2023年4季度
10,568,泸州老窖,股吧行情,5.81%,7.5,1345.65,2023年4季度
1,603225,新凤鸣,股吧行情,9.09%,148.61,1954.26,2023年3季度
2,603707,健友股份,股吧行情,8.36%,141.72,1798.39,2023年3季度
3,603477,巨星农牧,股吧行情,7.84%,61.39,1686.38,2023年3季度
4,603605,珀莱雅,股吧行情,6.89%,14.59,1482.34,2023年3季度
5,300408,三环集团,股吧行情,6.64%,46.09,1428.79,2023年3季度
6,601233,桐昆股份,股吧行情,6.21%,90.62,1336.65,2023年3季度
7,300661,圣邦股份,股吧行情,6.03%,16.67,1296.6,2023年3季度
8,605499,东鹏饮料,股吧行情,5.98%,7.03,1285.58,2023年3季度
9,688526,科前生物,股吧行情,5.16%,53.71,1110.79,2023年3季度
10,300037,新宙邦,股吧行情,4.87%,23.89,1046.86,2023年3季度
1,603225,新凤鸣,股吧行情,8.99%,188.52,2083.18,2023年2季度
2,600872,中炬高新,股吧行情,8.86%,55.83,2053.99,2023年2季度
3,603605,珀莱雅,股吧行情,8.37%,17.26,1940.02,2023年2季度
4,603983,丸美股份,股吧行情,6.83%,48.93,1582.89,2023年2季度
5,601233,桐昆股份,股吧行情,6.21%,108.62,1439.22,2023年2季度
6,600079,人福医药,股吧行情,5.16%,44.43,1196.94,2023年2季度
7,2271,东方雨虹,股吧行情,5.16%,43.89,1196.44,2023年2季度
8,300408,三环集团,股吧行情,5.02%,39.62,1162.85,2023年2季度
9,300661,圣邦股份,股吧行情,4.40%,12.41,1019.41,2023年2季度
10,301101,明月镜片,股吧行情,4.02%,22.69,930.77,2023年2季度
1,603369,今世缘,股吧行情,8.59%,35.26,2286.61,2023年1季度
2,568,泸州老窖,股吧行情,8.46%,8.84,2252.34,2023年1季度
3,603225,新凤鸣,股吧行情,8.04%,197.1,2138.56,2023年1季度
4,600872,中炬高新,股吧行情,7.93%,56.87,2109.88,2023年1季度
5,2271,东方雨虹,股吧行情,7.90%,62.81,2102.88,2023年1季度
6,603737,三棵树,股吧行情,6.04%,13.81,1607.34,2023年1季度
7,603477,巨星农牧,股吧行情,6.00%,52.66,1597.18,2023年1季度
8,603983,丸美股份,股吧行情,5.95%,41.48,1582.46,2023年1季度
9,2567,唐人神,股吧行情,4.83%,157.57,1285.77,2023年1季度
10,600079,人福医药,股吧行情,4.23%,42.04,1125.83,2023年1季度
