序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,600588,用友网络,股吧行情,8.76%,633.33,11266.95,2023年4季度
2,300454,深信服,股吧行情,8.05%,143.33,10361.43,2023年4季度
3,688235,百济神州,股吧行情,7.56%,70.0,9732.8,2023年4季度
4,300676,华大基因,股吧行情,7.46%,200.01,9600.33,2023年4季度
5,300661,圣邦股份,股吧行情,6.92%,100.01,8901.45,2023年4季度
6,688023,安恒信息,股吧行情,6.89%,80.0,8871.2,2023年4季度
7,688536,思瑞浦,股吧行情,6.82%,60.0,8778.0,2023年4季度
8,688114,华大智造,股吧行情,6.68%,100.0,8602.0,2023年4季度
9,2230,科大讯飞,股吧行情,6.49%,180.0,8348.4,2023年4季度
10,688728,格科微,股吧行情,6.36%,400.0,8188.0,2023年4季度
1,300454,深信服,股吧行情,8.82%,133.33,12441.15,2023年3季度
2,600588,用友网络,股吧行情,8.25%,700.0,11634.01,2023年3季度
3,688023,安恒信息,股吧行情,8.15%,80.0,11501.6,2023年3季度
4,688536,思瑞浦,股吧行情,7.74%,60.0,10920.0,2023年3季度
5,300676,华大基因,股吧行情,7.40%,200.01,10434.35,2023年3季度
6,2594,比亚迪,股吧行情,7.27%,43.33,10256.83,2023年3季度
7,688369,致远互联,股吧行情,6.84%,225.79,9647.97,2023年3季度
8,2230,科大讯飞,股吧行情,6.46%,180.0,9118.8,2023年3季度
9,603986,兆易创新,股吧行情,5.59%,80.0,7888.35,2023年3季度
10,300661,圣邦股份,股吧行情,5.51%,100.01,7777.4,2023年3季度
1,2594,比亚迪,股吧行情,8.36%,60.0,15496.69,2023年2季度
2,688369,致远互联,股吧行情,8.35%,280.0,15484.0,2023年2季度
3,600588,用友网络,股吧行情,8.33%,753.33,15443.28,2023年2季度
4,300454,深信服,股吧行情,7.94%,130.0,14722.66,2023年2季度
5,300676,华大基因,股吧行情,7.55%,233.34,13997.87,2023年2季度
6,688023,安恒信息,股吧行情,7.54%,80.0,13976.8,2023年2季度
7,2230,科大讯飞,股吧行情,7.33%,200.0,13592.0,2023年2季度
8,688536,思瑞浦,股吧行情,7.05%,60.0,13080.0,2023年2季度
9,688083,中望软件,股吧行情,6.25%,80.0,11591.2,2023年2季度
10,603986,兆易创新,股吧行情,4.58%,80.0,8500.37,2023年2季度
1,688369,致远互联,股吧行情,9.07%,200.0,19328.0,2023年1季度
2,600588,用友网络,股吧行情,8.65%,733.33,18443.26,2023年1季度
3,300454,深信服,股吧行情,8.56%,123.33,18248.11,2023年1季度
4,688023,安恒信息,股吧行情,8.48%,90.0,18079.2,2023年1季度
5,300676,华大基因,股吧行情,7.55%,233.33,16099.9,2023年1季度
6,688536,思瑞浦,股吧行情,6.86%,60.0,14609.4,2023年1季度
7,688111,金山办公,股吧行情,6.66%,30.0,14190.0,2023年1季度
8,688083,中望软件,股吧行情,6.30%,60.0,13435.8,2023年1季度
9,2594,比亚迪,股吧行情,6.01%,50.0,12802.05,2023年1季度
10,688012,中微公司,股吧行情,5.54%,80.0,11800.8,2023年1季度
