序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,300972,万辰集团,股吧行情,10.04%,17.19,1382.25,2024年4季度
2,2463,沪电股份,股吧行情,9.93%,34.48,1367.13,2024年4季度
3,2127,南极电商,股吧行情,9.92%,310.37,1365.63,2024年4季度
4,300502,新易盛,股吧行情,8.94%,10.64,1229.77,2024年4季度
5,603477,巨星农牧,股吧行情,8.85%,68.58,1217.3,2024年4季度
6,300476,胜宏科技,股吧行情,8.77%,28.68,1207.14,2024年4季度
7,688676,金盘科技,股吧行情,8.56%,28.43,1177.66,2024年4季度
8,688372,伟测科技,股吧行情,6.06%,14.24,833.47,2024年4季度
9,688362,甬矽电子,股吧行情,5.47%,22.34,752.47,2024年4季度
10,301061,匠心家居,股吧行情,4.98%,11.09,685.36,2024年4季度
1,300502,新易盛,股吧行情,10.37%,13.47,1750.7,2024年3季度
2,688676,金盘科技,股吧行情,10.06%,46.07,1699.13,2024年3季度
3,2463,沪电股份,股吧行情,9.39%,39.51,1586.72,2024年3季度
4,300476,胜宏科技,股吧行情,9.04%,38.47,1527.26,2024年3季度
5,688372,伟测科技,股吧行情,8.93%,27.92,1508.96,2024年3季度
6,688362,甬矽电子,股吧行情,7.10%,53.9,1199.24,2024年3季度
7,2648,卫星化学,股吧行情,6.90%,62.39,1164.82,2024年3季度
8,2597,金禾实业,股吧行情,6.77%,45.14,1144.3,2024年3季度
9,300308,中际旭创,股吧行情,6.22%,6.78,1049.95,2024年3季度
10,301345,涛涛车业,股吧行情,4.55%,12.41,769.17,2024年3季度
1,688052,纳芯微,股吧行情,8.85%,19.91,2045.92,2024年2季度
2,2463,沪电股份,股吧行情,8.31%,52.64,1921.36,2024年2季度
3,688372,伟测科技,股吧行情,7.74%,45.5,1789.39,2024年2季度
4,688362,甬矽电子,股吧行情,7.68%,91.27,1776.1,2024年2季度
5,688676,金盘科技,股吧行情,7.65%,33.92,1768.97,2024年2季度
6,603129,春风动力,股吧行情,7.50%,12.18,1733.7,2024年2季度
7,688141,杰华特,股吧行情,7.08%,101.3,1636.94,2024年2季度
8,600529,山东药玻,股吧行情,6.26%,57.13,1447.67,2024年2季度
9,2648,卫星化学,股吧行情,5.28%,67.93,1221.38,2024年2季度
10,300049,福瑞股份,股吧行情,5.21%,23.95,1205.64,2024年2季度
1,688372,伟测科技,股吧行情,9.44%,36.3,2417.81,2024年1季度
2,568,泸州老窖,股吧行情,7.96%,11.04,2037.87,2024年1季度
3,603369,今世缘,股吧行情,7.95%,34.68,2034.68,2024年1季度
4,600809,山西汾酒,股吧行情,7.86%,8.21,2012.11,2024年1季度
5,688362,甬矽电子,股吧行情,7.54%,96.13,1930.27,2024年1季度
6,688141,杰华特,股吧行情,7.28%,114.44,1863.16,2024年1季度
7,603225,新凤鸣,股吧行情,6.44%,112.64,1649.05,2024年1季度
8,603255,鼎际得,股吧行情,6.11%,43.92,1564.77,2024年1季度
9,2648,卫星化学,股吧行情,5.58%,77.21,1428.39,2024年1季度
10,688052,纳芯微,股吧行情,5.03%,12.83,1287.7,2024年1季度
