序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,300059,东方财富,,,变动详情股吧行情,6.33,680.9,15749.22
2,300548,长芯博创,,,变动详情股吧行情,5.61,209.15,13964.95
3,688787,海天瑞声,,,变动详情股吧行情,4.76,111.51,11840.62
4,688502,茂莱光学,,,变动详情股吧行情,4.48,38.79,11159.22
5,300803,指南针,,,变动详情股吧行情,4.48,138.34,11158.38
6,603918,金桥信息,,,变动详情股吧行情,4.41,549.19,10978.31
7,300130,新国都,,,变动详情股吧行情,4.38,306.49,10889.59
8,688981,中芯国际,,,变动详情股吧行情,4.11,115.95,10223.35
9,2837,英维克,,,变动详情股吧行情,4.08,341.73,10152.89
10,300738,奥飞数据,,,变动详情股吧行情,4.05,481.45,10076.75
