序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688608,恒玄科技,股吧行情,9.27%,26.1,8492.29,2024年4季度
2,688332,中科蓝讯,股吧行情,8.82%,61.92,8080.55,2024年4季度
3,688213,思特威,股吧行情,8.01%,94.35,7332.98,2024年4季度
4,688286,敏芯股份,股吧行情,6.84%,103.93,6261.81,2024年4季度
5,688601,力芯微,股吧行情,5.03%,111.29,4610.54,2024年4季度
6,688458,美芯晟,股吧行情,4.67%,130.53,4274.94,2024年4季度
7,603893,瑞芯微,股吧行情,4.07%,33.88,3728.62,2024年4季度
8,688361,中科飞测,股吧行情,3.83%,40.06,3507.45,2024年4季度
9,688595,芯海科技,股吧行情,3.82%,106.59,3496.21,2024年4季度
10,688239,航宇科技,股吧行情,3.66%,89.95,3355.27,2024年4季度
1,688608,恒玄科技,股吧行情,9.89%,24.89,5285.46,2024年3季度
2,688332,中科蓝讯,股吧行情,9.55%,84.78,5103.49,2024年3季度
3,688213,思特威,股吧行情,7.84%,72.6,4189.88,2024年3季度
4,688601,力芯微,股吧行情,5.72%,70.24,3059.48,2024年3季度
5,688286,敏芯股份,股吧行情,5.07%,59.89,2708.19,2024年3季度
6,603893,瑞芯微,股吧行情,3.86%,31.76,2063.64,2024年3季度
7,688458,美芯晟,股吧行情,3.67%,67.94,1963.34,2024年3季度
8,688361,中科飞测,股吧行情,2.99%,25.61,1597.21,2024年3季度
9,688595,芯海科技,股吧行情,2.99%,49.05,1596.12,2024年3季度
10,688239,航宇科技,股吧行情,2.92%,42.6,1559.02,2024年3季度
1,688608,恒玄科技,股吧行情,9.99%,33.41,4890.28,2024年2季度
2,688332,中科蓝讯,股吧行情,9.51%,78.96,4657.64,2024年2季度
3,688213,思特威,股吧行情,6.05%,61.09,2962.82,2024年2季度
4,688286,敏芯股份,股吧行情,5.81%,59.78,2845.62,2024年2季度
5,688601,力芯微,股吧行情,5.02%,56.28,2458.81,2024年2季度
6,688458,美芯晟,股吧行情,3.52%,64.27,1722.31,2024年2季度
7,300101,振芯科技,股吧行情,3.43%,113.73,1679.77,2024年2季度
8,603893,瑞芯微,股吧行情,2.89%,23.9,1414.05,2024年2季度
9,688595,芯海科技,股吧行情,2.79%,45.5,1365.06,2024年2季度
10,688123,聚辰股份,股吧行情,2.12%,17.08,1039.08,2024年2季度
1,688608,恒玄科技,股吧行情,9.31%,44.52,4700.89,2024年1季度
2,688332,中科蓝讯,股吧行情,8.32%,63.27,4204.6,2024年1季度
3,688286,敏芯股份,股吧行情,4.84%,59.78,2443.71,2024年1季度
4,688213,思特威,股吧行情,4.67%,47.28,2358.3,2024年1季度
5,300101,振芯科技,股吧行情,3.40%,99.41,1715.8,2024年1季度
6,688458,美芯晟,股吧行情,3.13%,30.42,1580.41,2024年1季度
7,688601,力芯微,股吧行情,2.89%,32.03,1458.79,2024年1季度
8,688239,航宇科技,股吧行情,2.57%,37.31,1300.09,2024年1季度
9,603893,瑞芯微,股吧行情,2.20%,22.04,1108.96,2024年1季度
10,688595,芯海科技,股吧行情,2.08%,32.79,1049.5,2024年1季度
