序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,2230,科大讯飞,股吧行情,7.52%,81.56,3940.94
2,688111,金山办公,股吧行情,7.02%,12.85,3680.17
3,977,浪潮信息,股吧行情,5.33%,53.82,2792.37
4,938,紫光股份,股吧行情,5.17%,97.41,2711.05
5,300502,新易盛,股吧行情,5.14%,23.33,2696.25
6,603019,中科曙光,股吧行情,5.05%,36.63,2648.75
7,300308,中际旭创,股吧行情,4.34%,18.4,2273.08
8,600570,恒生电子,股吧行情,3.13%,58.68,1642.4
9,300002,神州泰岳,股吧行情,2.72%,123.13,1427.08
10,300442,润泽科技,股吧行情,2.70%,27.26,1416.43
