序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,2162,康诺亚-B,股吧行情,8.32%,30.97,886.1
2,9926,康方生物,股吧行情,8.27%,15.67,880.6
3,13,和黄医药,股吧行情,8.19%,41.75,871.83
4,1801,信达生物,股吧行情,8.19%,25.72,871.73
5,6160,百济神州,股吧行情,8.14%,8.58,867.27
6,9995,荣昌生物,股吧行情,8.10%,64.7,862.77
7,3692,翰森制药,股吧行情,8.03%,53.46,855.52
8,6990,科伦博泰生物-B,股吧行情,7.94%,5.59,845.33
9,1177,中国生物制药,股吧行情,4.20%,150.96,447.34
10,9969,诺诚健华,股吧行情,4.15%,78.0,442.05
