序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,603225,新凤鸣,股吧行情,8.87%,170.61,2422.66,2023年4季度
2,600809,山西汾酒,股吧行情,8.67%,10.26,2367.29,2023年4季度
3,300408,三环集团,股吧行情,8.54%,79.18,2331.85,2023年4季度
4,688046,药康生物,股吧行情,8.37%,113.37,2284.43,2023年4季度
5,688052,纳芯微,股吧行情,8.04%,13.16,2195.41,2023年4季度
6,603707,健友股份,股吧行情,7.81%,142.1,2131.56,2023年4季度
7,300661,圣邦股份,股吧行情,7.59%,23.29,2073.13,2023年4季度
8,2648,卫星化学,股吧行情,6.57%,121.55,1792.86,2023年4季度
9,688728,格科微,股吧行情,6.23%,83.06,1700.25,2023年4季度
10,603255,鼎际得,股吧行情,5.77%,42.23,1575.07,2023年4季度
1,603225,新凤鸣,股吧行情,8.36%,152.32,2003.01,2023年3季度
2,603707,健友股份,股吧行情,8.15%,153.95,1953.68,2023年3季度
3,603477,巨星农牧,股吧行情,7.84%,68.38,1878.4,2023年3季度
4,603605,珀莱雅,股吧行情,6.92%,16.32,1657.71,2023年3季度
5,300408,三环集团,股吧行情,6.64%,51.33,1591.23,2023年3季度
6,605499,东鹏饮料,股吧行情,6.13%,8.04,1470.27,2023年3季度
7,300661,圣邦股份,股吧行情,6.06%,18.67,1452.04,2023年3季度
8,601233,桐昆股份,股吧行情,6.05%,98.36,1450.81,2023年3季度
9,688526,科前生物,股吧行情,5.31%,61.56,1273.02,2023年3季度
10,300037,新宙邦,股吧行情,5.11%,27.94,1224.33,2023年3季度
1,603225,新凤鸣,股吧行情,8.36%,200.29,2213.2,2023年2季度
2,603605,珀莱雅,股吧行情,8.31%,19.59,2201.47,2023年2季度
3,600872,中炬高新,股吧行情,8.22%,59.16,2176.5,2023年2季度
4,603983,丸美股份,股吧行情,7.32%,59.95,1939.35,2023年2季度
5,601233,桐昆股份,股吧行情,6.67%,133.29,1766.09,2023年2季度
6,600079,人福医药,股吧行情,5.64%,55.47,1494.36,2023年2季度
7,300408,三环集团,股吧行情,5.28%,47.64,1398.23,2023年2季度
8,2271,东方雨虹,股吧行情,5.16%,50.09,1365.45,2023年2季度
9,300661,圣邦股份,股吧行情,4.68%,15.08,1238.6,2023年2季度
10,301101,明月镜片,股吧行情,4.09%,26.41,1083.53,2023年2季度
1,603369,今世缘,股吧行情,8.53%,37.05,2402.69,2023年1季度
2,568,泸州老窖,股吧行情,8.42%,9.31,2372.09,2023年1季度
3,603225,新凤鸣,股吧行情,8.07%,209.6,2274.16,2023年1季度
4,600872,中炬高新,股吧行情,7.99%,60.67,2250.86,2023年1季度
5,2271,东方雨虹,股吧行情,7.89%,66.38,2222.4,2023年1季度
6,603737,三棵树,股吧行情,6.02%,14.56,1694.93,2023年1季度
7,603477,巨星农牧,股吧行情,5.99%,55.67,1688.47,2023年1季度
8,603983,丸美股份,股吧行情,5.95%,43.97,1677.46,2023年1季度
9,2567,唐人神,股吧行情,5.24%,180.96,1476.63,2023年1季度
10,600079,人福医药,股吧行情,4.41%,46.4,1242.59,2023年1季度
