序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,300502,新易盛,,,变动详情股吧行情,10.33%,21.55,2737.03,2025年2季度
2,300476,胜宏科技,,,变动详情股吧行情,10.02%,19.76,2655.35,2025年2季度
3,2463,沪电股份,,,变动详情股吧行情,9.09%,56.59,2409.6,2025年2季度
4,603129,春风动力,,,变动详情股吧行情,6.09%,7.45,1612.93,2025年2季度
5,301061,匠心家居,,,变动详情股吧行情,5.98%,20.44,1584.84,2025年2季度
6,688362,甬矽电子,,,变动详情股吧行情,5.79%,51.52,1534.37,2025年2季度
7,300408,三环集团,,,变动详情股吧行情,5.77%,45.77,1528.72,2025年2季度
8,603979,金诚信,,,变动详情股吧行情,5.21%,29.75,1381.59,2025年2季度
9,688372,伟测科技,,,变动详情股吧行情,4.91%,21.54,1300.91,2025年2季度
10,688484,南芯科技,,,变动详情股吧行情,4.46%,29.9,1182.71,2025年2季度
1,603477,巨星农牧,,,股吧行情,10.51%,120.95,2342.8,2025年1季度
2,300972,万辰集团,,,股吧行情,9.73%,24.06,2168.53,2025年1季度
3,2127,南极电商,,,股吧行情,8.95%,511.49,1994.81,2025年1季度
4,300394,天孚通信,,,股吧行情,7.76%,20.43,1728.79,2025年1季度
5,300502,新易盛,,,股吧行情,7.25%,16.47,1616.04,2025年1季度
6,2463,沪电股份,,,股吧行情,6.84%,46.46,1523.89,2025年1季度
7,688183,生益电子,,,股吧行情,6.55%,49.39,1460.08,2025年1季度
8,301061,匠心家居,,,股吧行情,5.79%,16.55,1290.07,2025年1季度
9,688676,金盘科技,,,股吧行情,5.69%,31.91,1268.23,2025年1季度
10,688800,瑞可达,,,股吧行情,5.14%,23.24,1144.63,2025年1季度
