序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688256,寒武纪,股吧行情,9.81%,9.89,6505.98,2024年4季度
2,603986,兆易创新,股吧行情,8.76%,54.35,5804.58,2024年4季度
3,688041,海光信息,股吧行情,5.53%,24.48,3667.29,2024年4季度
4,700,腾讯控股,股吧行情,5.17%,8.88,3427.21,2024年4季度
5,601689,拓普集团,股吧行情,4.76%,64.42,3156.8,2024年4季度
6,688361,中科飞测,股吧行情,4.37%,33.1,2897.83,2024年4季度
7,688486,龙迅股份,股吧行情,4.23%,35.91,2802.06,2024年4季度
8,285,比亚迪电子,股吧行情,3.90%,66.45,2587.56,2024年4季度
9,688279,峰岹科技,股吧行情,3.54%,14.86,2343.72,2024年4季度
10,603893,瑞芯微,股吧行情,3.22%,19.39,2134.06,2024年4季度
1,688256,寒武纪,股吧行情,9.56%,25.23,7294.84,2024年3季度
2,300502,新易盛,股吧行情,9.55%,56.11,7292.62,2024年3季度
3,2475,立讯精密,股吧行情,7.55%,132.57,5761.49,2024年3季度
4,300308,中际旭创,股吧行情,6.29%,31.02,4804.07,2024年3季度
5,688279,峰岹科技,股吧行情,4.95%,27.78,3777.29,2024年3季度
6,603986,兆易创新,股吧行情,4.89%,42.24,3732.75,2024年3季度
7,688486,龙迅股份,股吧行情,4.62%,62.42,3524.95,2024年3季度
8,700,腾讯控股,股吧行情,4.20%,8.01,3209.77,2024年3季度
9,2916,深南电路,股吧行情,3.39%,23.29,2584.49,2024年3季度
10,9988,阿里巴巴-W,股吧行情,3.23%,24.83,2463.14,2024年3季度
1,300502,新易盛,股吧行情,9.79%,63.6,6712.98,2024年2季度
2,300308,中际旭创,股吧行情,8.51%,42.3,5832.6,2024年2季度
3,688486,龙迅股份,股吧行情,6.34%,75.83,4344.81,2024年2季度
4,688256,寒武纪,股吧行情,6.27%,21.62,4295.78,2024年2季度
5,688279,峰岹科技,股吧行情,6.22%,38.45,4264.57,2024年2季度
6,2916,深南电路,股吧行情,5.49%,35.61,3766.47,2024年2季度
7,603986,兆易创新,股吧行情,5.36%,38.43,3674.68,2024年2季度
8,688475,萤石网络,股吧行情,5.18%,104.13,3551.82,2024年2季度
9,688498,源杰科技,股吧行情,3.83%,20.04,2625.42,2024年2季度
10,981,中芯国际,股吧行情,3.18%,139.55,2181.17,2024年2季度
1,688279,峰岹科技,股吧行情,6.43%,41.49,4718.09,2024年1季度
2,688486,龙迅股份,股吧行情,6.04%,51.23,4434.78,2024年1季度
3,300308,中际旭创,股吧行情,5.97%,27.98,4380.55,2024年1季度
4,688475,萤石网络,股吧行情,5.59%,92.68,4104.91,2024年1季度
5,688590,新致软件,股吧行情,5.49%,223.91,4030.41,2024年1季度
6,688111,金山办公,股吧行情,5.40%,13.62,3963.45,2024年1季度
7,688498,源杰科技,股吧行情,4.60%,27.01,3376.03,2024年1季度
8,300624,万兴科技,股吧行情,3.69%,28.94,2709.94,2024年1季度
9,300430,诚益通,股吧行情,3.58%,147.52,2625.83,2024年1季度
10,301095,广立微,股吧行情,3.56%,47.56,2610.56,2024年1季度
