序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,688256,寒武纪,股吧行情,9.81%,9.89,6505.98
2,603986,兆易创新,股吧行情,8.76%,54.35,5804.58
3,688041,海光信息,股吧行情,5.53%,24.48,3667.29
4,700,腾讯控股,股吧行情,5.17%,8.88,3427.21
5,601689,拓普集团,股吧行情,4.76%,64.42,3156.8
6,688361,中科飞测,股吧行情,4.37%,33.1,2897.83
7,688486,龙迅股份,股吧行情,4.23%,35.91,2802.06
8,285,比亚迪电子,股吧行情,3.90%,66.45,2587.56
9,688279,峰岹科技,股吧行情,3.54%,14.86,2343.72
10,603893,瑞芯微,股吧行情,3.22%,19.39,2134.06
