序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688577,浙海德曼,股吧行情,7.54%,43.61,4108.5,2023年4季度
2,300130,新国都,股吧行情,6.46%,145.64,3524.49,2023年4季度
3,300809,华辰装备,股吧行情,5.21%,97.16,2841.93,2023年4季度
4,605289,罗曼股份,股吧行情,5.17%,49.01,2818.08,2023年4季度
5,301383,天键股份,股吧行情,4.95%,41.49,2696.82,2023年4季度
6,605589,圣泉集团,股吧行情,4.60%,112.11,2509.02,2023年4季度
7,300559,佳发教育,股吧行情,4.50%,158.41,2455.36,2023年4季度
8,603322,超讯通信,股吧行情,4.25%,61.41,2315.77,2023年4季度
9,603667,五洲新春,股吧行情,4.03%,93.94,2198.2,2023年4季度
10,688325,赛微微电,股吧行情,3.73%,51.82,2030.97,2023年4季度
1,301525,儒竞科技,股吧行情,7.93%,36.88,3980.01,2023年3季度
2,300130,新国都,股吧行情,6.51%,132.62,3269.08,2023年3季度
3,600415,小商品城,股吧行情,6.19%,343.55,3105.69,2023年3季度
4,601138,工业富联,股吧行情,5.84%,148.85,2932.35,2023年3季度
5,603322,超讯通信,股吧行情,5.47%,91.8,2744.82,2023年3季度
6,605589,圣泉集团,股吧行情,5.23%,113.11,2624.15,2023年3季度
7,300773,拉卡拉,股吧行情,5.18%,145.62,2602.23,2023年3季度
8,688316,青云科技,股吧行情,4.92%,44.24,2471.41,2023年3季度
9,688007,光峰科技,股吧行情,4.78%,94.43,2398.45,2023年3季度
10,2230,科大讯飞,股吧行情,4.77%,47.24,2393.18,2023年3季度
1,601138,工业富联,股吧行情,8.68%,201.82,5085.86,2023年2季度
2,63,中兴通讯,股吧行情,5.69%,73.24,3335.35,2023年2季度
3,300130,新国都,股吧行情,5.39%,111.53,3159.64,2023年2季度
4,2865,钧达股份,股吧行情,5.22%,20.04,3057.31,2023年2季度
5,600732,爱旭股份,股吧行情,5.12%,97.53,2998.99,2023年2季度
6,688556,高测股份,股吧行情,5.08%,56.04,2977.98,2023年2季度
7,600415,小商品城,股吧行情,5.00%,343.55,2930.48,2023年2季度
8,688981,中芯国际,股吧行情,4.90%,56.83,2870.8,2023年2季度
9,688472,阿特斯,股吧行情,4.88%,155.61,2856.94,2023年2季度
10,300271,华宇软件,股吧行情,3.92%,207.2,2295.78,2023年2季度
