序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2230,科大讯飞,股吧行情,8.37%,264.89,12285.74,2023年4季度
2,688111,金山办公,股吧行情,7.15%,33.2,10497.4,2023年4季度
3,300308,中际旭创,股吧行情,5.28%,68.68,7754.26,2023年4季度
4,603019,中科曙光,股吧行情,4.63%,172.05,6794.33,2023年4季度
5,938,紫光股份,股吧行情,4.29%,325.9,6306.2,2023年4季度
6,600570,恒生电子,股吧行情,4.22%,215.56,6199.64,2023年4季度
7,600588,用友网络,股吧行情,3.77%,311.39,5539.64,2023年4季度
8,600845,宝信软件,股吧行情,3.64%,109.6,5348.5,2023年4季度
9,300502,新易盛,股吧行情,3.63%,107.94,5323.46,2023年4季度
10,977,浪潮信息,股吧行情,3.31%,146.48,4863.24,2023年4季度
1,2230,科大讯飞,股吧行情,8.90%,259.65,13154.02,2023年3季度
2,688111,金山办公,股吧行情,6.78%,27.02,10017.53,2023年3季度
3,300308,中际旭创,股吧行情,6.15%,78.47,9086.42,2023年3季度
4,600570,恒生电子,股吧行情,4.86%,221.12,7175.5,2023年3季度
5,603019,中科曙光,股吧行情,4.39%,168.27,6485.2,2023年3季度
6,938,紫光股份,股吧行情,4.34%,272.22,6416.27,2023年3季度
7,977,浪潮信息,股吧行情,3.82%,150.1,5645.37,2023年3季度
8,600588,用友网络,股吧行情,3.36%,298.31,4957.92,2023年3季度
9,300502,新易盛,股吧行情,3.30%,105.86,4869.73,2023年3季度
10,600845,宝信软件,股吧行情,3.21%,105.03,4745.27,2023年3季度
1,2230,科大讯飞,股吧行情,9.47%,233.35,15858.67,2023年2季度
2,688111,金山办公,股吧行情,6.69%,23.7,11191.28,2023年2季度
3,300308,中际旭创,股吧行情,6.47%,73.41,10824.3,2023年2季度
4,600570,恒生电子,股吧行情,5.23%,197.58,8751.03,2023年2季度
5,938,紫光股份,股吧行情,4.84%,254.39,8102.38,2023年2季度
6,603019,中科曙光,股吧行情,4.68%,153.94,7835.65,2023年2季度
7,977,浪潮信息,股吧行情,3.90%,134.72,6534.07,2023年2季度
8,300502,新易盛,股吧行情,3.76%,92.48,6286.12,2023年2季度
9,600588,用友网络,股吧行情,3.30%,269.14,5517.28,2023年2季度
10,2410,广联达,股吧行情,3.24%,167.11,5429.56,2023年2季度
1,2230,科大讯飞,股吧行情,10.02%,150.42,9578.94,2023年1季度
2,688111,金山办公,股吧行情,7.34%,14.83,7016.06,2023年1季度
3,600570,恒生电子,股吧行情,6.76%,121.39,6460.38,2023年1季度
4,2410,广联达,股吧行情,5.77%,74.23,5515.01,2023年1季度
5,938,紫光股份,股吧行情,4.98%,162.37,4755.87,2023年1季度
6,600588,用友网络,股吧行情,4.26%,161.97,4073.55,2023年1季度
7,603019,中科曙光,股吧行情,3.70%,92.32,3538.72,2023年1季度
8,300454,深信服,股吧行情,3.01%,19.46,2879.8,2023年1季度
9,600845,宝信软件,股吧行情,2.93%,48.15,2802.11,2023年1季度
10,300308,中际旭创,股吧行情,2.86%,46.48,2737.67,2023年1季度
