序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,1801,信达生物,,,变动详情股吧行情,9.18,390.58,27925.15
2,9926,康方生物,,,变动详情股吧行情,8.67,314.74,26392.46
3,6990,科伦博泰生物-B,,,变动详情股吧行情,8.4,85.65,25557.11
4,688506,百利天恒,,,变动详情股吧行情,8.28,85.06,25187.55
5,688235,百济神州,,,变动详情股吧行情,7.88,102.65,23982.61
6,1530,三生制药,,,变动详情股吧行情,7.78,1098.2,23685.56
7,300204,舒泰神,,,变动详情股吧行情,7.32,597.07,22258.77
8,688192,迪哲医药,,,变动详情股吧行情,7.11,361.58,21622.47
9,2755,奥赛康,,,变动详情股吧行情,6.14,1168.56,18673.63
10,688382,益方生物,,,变动详情股吧行情,5.28,489.29,16058.45
