序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688608,恒玄科技,股吧行情,10.21%,5.0,771.35,2023年4季度
2,688270,臻镭科技,股吧行情,9.96%,11.0,752.18,2023年4季度
3,688582,芯动联科,股吧行情,9.72%,19.0,734.73,2023年4季度
4,688049,炬芯科技,股吧行情,9.57%,19.0,723.33,2023年4季度
5,688486,龙迅股份,股吧行情,9.43%,6.0,712.62,2023年4季度
6,688095,福昕软件,股吧行情,9.25%,10.0,698.5,2023年4季度
7,688088,虹软科技,股吧行情,9.23%,17.0,697.68,2023年4季度
8,688515,裕太微,股吧行情,9.15%,7.0,691.67,2023年4季度
9,688332,中科蓝讯,股吧行情,8.98%,9.0,678.78,2023年4季度
10,688279,峰岹科技,股吧行情,8.35%,5.0,630.6,2023年4季度
1,688608,恒玄科技,股吧行情,9.49%,6.0,699.9,2023年3季度
2,688515,裕太微,股吧行情,9.48%,6.0,699.0,2023年3季度
3,688088,虹软科技,股吧行情,9.36%,17.0,690.2,2023年3季度
4,688582,芯动联科,股吧行情,9.24%,18.0,681.12,2023年3季度
5,688270,臻镭科技,股吧行情,9.19%,14.0,677.6,2023年3季度
6,688486,龙迅股份,股吧行情,8.95%,7.0,660.1,2023年3季度
7,688279,峰岹科技,股吧行情,8.95%,6.0,660.0,2023年3季度
8,688095,福昕软件,股吧行情,8.87%,8.0,653.76,2023年3季度
9,688099,晶晨股份,股吧行情,8.55%,10.0,630.5,2023年3季度
10,688332,中科蓝讯,股吧行情,6.77%,7.0,499.31,2023年3季度
1,688515,裕太微,股吧行情,9.95%,5.0,858.3,2023年2季度
2,688608,恒玄科技,股吧行情,9.82%,7.0,847.21,2023年2季度
3,688279,峰岹科技,股吧行情,9.18%,6.0,792.0,2023年2季度
4,688088,虹软科技,股吧行情,8.92%,18.0,769.5,2023年2季度
5,688095,福昕软件,股吧行情,8.79%,6.0,758.28,2023年2季度
6,688256,寒武纪,股吧行情,8.72%,4.0,752.0,2023年2季度
7,688270,臻镭科技,股吧行情,6.78%,9.0,584.37,2023年2季度
8,688261,东微半导,股吧行情,6.49%,4.0,559.48,2023年2季度
9,688049,炬芯科技,股吧行情,5.12%,12.0,441.6,2023年2季度
10,688337,普源精电,股吧行情,4.89%,7.0,421.82,2023年2季度
1,688515,裕太微,股吧行情,9.98%,7.0,1578.36,2023年1季度
2,688385,复旦微电,股吧行情,9.94%,24.0,1571.04,2023年1季度
3,688270,臻镭科技,股吧行情,9.64%,17.0,1523.88,2023年1季度
4,688279,峰岹科技,股吧行情,9.63%,17.0,1523.37,2023年1季度
5,688261,东微半导,股吧行情,8.81%,7.0,1393.0,2023年1季度
6,688095,福昕软件,股吧行情,7.94%,10.0,1255.56,2023年1季度
7,688536,思瑞浦,股吧行情,7.70%,5.0,1217.45,2023年1季度
8,301269,华大九天,股吧行情,7.02%,9.0,1109.88,2023年1季度
9,688141,杰华特,股吧行情,6.94%,22.0,1097.8,2023年1季度
10,688099,晶晨股份,股吧行情,5.32%,10.0,841.2,2023年1季度
