序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,9992,泡泡玛特,股吧行情,9.33%,25.82,2143.56
2,6181,老铺黄金,股吧行情,6.14%,6.31,1409.41
3,1308,康冠科技,股吧行情,5.59%,46.67,1283.43
4,300593,新雷能,股吧行情,4.97%,102.0,1142.4
5,300179,四方达,股吧行情,4.84%,98.74,1110.83
6,603275,众辰科技,股吧行情,4.80%,32.36,1101.53
7,489,东风集团股份,股吧行情,4.68%,312.0,1074.8
8,688636,智明达,股吧行情,4.68%,38.25,1074.73
9,600415,小商品城,股吧行情,4.52%,77.43,1038.34
10,301071,力量钻石,股吧行情,4.42%,28.01,1015.51
