序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,688256,寒武纪,股吧行情,7.24%,30.0,19740.0
2,688631,莱斯信息,股吧行情,6.39%,200.0,17418.0
3,688522,纳睿雷达,股吧行情,6.20%,300.0,16902.0
4,688375,国博电子,股吧行情,5.43%,300.0,14808.0
5,301486,致尚科技,股吧行情,5.26%,300.0,14355.04
6,688326,经纬恒润,股吧行情,5.24%,170.0,14297.0
7,688498,源杰科技,股吧行情,4.92%,100.0,13420.0
8,603773,沃格光电,股吧行情,4.64%,500.0,12650.0
9,688691,灿芯股份,股吧行情,4.23%,150.0,11550.0
10,2281,光迅科技,股吧行情,3.83%,200.0,10434.0
