序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,1801,信达生物,股吧行情,9.04%,45.7,1548.91,2024年4季度
2,6990,科伦博泰生物-B,股吧行情,8.89%,10.07,1522.81,2024年4季度
3,688235,百济神州,股吧行情,8.84%,9.41,1514.65,2024年4季度
4,9926,康方生物,股吧行情,8.84%,26.93,1513.94,2024年4季度
5,2755,奥赛康,股吧行情,8.75%,117.91,1498.64,2024年4季度
6,688506,百利天恒,股吧行情,8.26%,7.38,1414.72,2024年4季度
7,688266,泽璟制药,股吧行情,8.22%,22.59,1407.89,2024年4季度
8,688192,迪哲医药,股吧行情,7.99%,33.0,1368.32,2024年4季度
9,6855,亚盛医药-B,股吧行情,5.23%,21.28,895.64,2024年4季度
10,2268,药明合联,股吧行情,3.76%,22.7,644.3,2024年4季度
1,688506,百利天恒,股吧行情,9.27%,11.84,2317.95,2024年3季度
2,1801,信达生物,股吧行情,8.89%,52.35,2223.53,2024年3季度
3,13,和黄医药,股吧行情,8.73%,75.16,2182.44,2024年3季度
4,688235,百济神州,股吧行情,8.35%,11.57,2087.69,2024年3季度
5,9926,康方生物,股吧行情,7.97%,32.23,1994.05,2024年3季度
6,6990,科伦博泰生物-B,股吧行情,7.91%,11.92,1976.8,2024年3季度
7,688192,迪哲医药,股吧行情,7.22%,41.2,1805.32,2024年3季度
8,2755,奥赛康,股吧行情,5.95%,125.32,1488.8,2024年3季度
9,600276,恒瑞医药,股吧行情,4.38%,20.92,1094.12,2024年3季度
10,688076,诺泰生物,股吧行情,4.24%,15.43,1061.17,2024年3季度
1,1801,信达生物,股吧行情,8.88%,64.8,2176.41,2024年2季度
2,13,和黄医药,股吧行情,8.19%,80.01,2008.12,2024年2季度
3,6990,科伦博泰生物-B,股吧行情,7.94%,12.86,1946.01,2024年2季度
4,688578,艾力斯,股吧行情,5.12%,19.7,1255.7,2024年2季度
5,688506,百利天恒,股吧行情,4.79%,6.47,1173.57,2024年2季度
6,3692,翰森制药,股吧行情,4.75%,78.2,1164.78,2024年2季度
7,6160,百济神州,股吧行情,4.43%,13.8,1085.69,2024年2季度
8,1177,中国生物制药,股吧行情,4.23%,425.0,1035.66,2024年2季度
9,688192,迪哲医药,股吧行情,3.65%,24.27,894.27,2024年2季度
10,300765,新诺威,股吧行情,3.62%,35.19,887.79,2024年2季度
1,1801,信达生物,股吧行情,8.76%,62.75,2144.6,2024年1季度
2,600276,恒瑞医药,股吧行情,7.98%,42.51,1954.09,2024年1季度
3,13,和黄医药,股吧行情,7.85%,79.26,1922.05,2024年1季度
4,9926,康方生物,股吧行情,5.86%,33.93,1435.06,2024年1季度
5,2162,康诺亚-B,股吧行情,5.01%,39.91,1226.66,2024年1季度
6,1548,金斯瑞生物科技,股吧行情,4.73%,88.21,1159.52,2024年1季度
7,688235,百济神州,股吧行情,3.71%,6.87,907.67,2024年1季度
8,9995,荣昌生物,股吧行情,3.25%,32.3,794.99,2024年1季度
9,688506,百利天恒,股吧行情,3.23%,6.3,791.66,2024年1季度
10,6990,科伦博泰生物-B,股吧行情,2.98%,5.2,730.68,2024年1季度
