序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,300476,胜宏科技,,,变动详情股吧行情,10.86%,12.83,1724.1,2025年2季度
2,300502,新易盛,,,变动详情股吧行情,10.19%,12.73,1616.96,2025年2季度
3,2463,沪电股份,,,变动详情股吧行情,9.04%,33.69,1434.52,2025年2季度
4,688362,甬矽电子,,,变动详情股吧行情,6.20%,33.05,984.18,2025年2季度
5,301061,匠心家居,,,变动详情股吧行情,5.90%,12.08,936.84,2025年2季度
6,300408,三环集团,,,变动详情股吧行情,5.66%,26.91,898.79,2025年2季度
7,603129,春风动力,,,变动详情股吧行情,5.40%,3.96,857.34,2025年2季度
8,603979,金诚信,,,变动详情股吧行情,5.23%,17.86,829.42,2025年2季度
9,688372,伟测科技,,,变动详情股吧行情,4.98%,13.08,790.3,2025年2季度
10,688484,南芯科技,,,变动详情股吧行情,4.91%,19.69,778.87,2025年2季度
1,603477,巨星农牧,,,股吧行情,10.55%,77.51,1501.37,2025年1季度
2,300972,万辰集团,,,股吧行情,9.73%,15.36,1384.4,2025年1季度
3,2127,南极电商,,,股吧行情,8.95%,326.56,1273.58,2025年1季度
4,300394,天孚通信,,,股吧行情,7.76%,13.04,1103.44,2025年1季度
5,2463,沪电股份,,,股吧行情,6.87%,29.79,977.11,2025年1季度
6,300502,新易盛,,,股吧行情,6.59%,9.55,937.05,2025年1季度
7,688183,生益电子,,,股吧行情,6.01%,28.93,855.3,2025年1季度
8,301061,匠心家居,,,股吧行情,5.79%,10.57,823.93,2025年1季度
9,688676,金盘科技,,,股吧行情,5.66%,20.26,804.96,2025年1季度
10,688800,瑞可达,,,股吧行情,5.57%,16.08,792.05,2025年1季度
