序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,189,东岳集团,,,变动详情股吧行情,9.86%,125.94,1203.61,2025年2季度
2,600160,巨化股份,,,变动详情股吧行情,9.66%,41.11,1179.03,2025年2季度
3,603379,三美股份,,,变动详情股吧行情,9.64%,24.47,1177.5,2025年2季度
4,605020,永和股份,,,变动详情股吧行情,9.24%,48.98,1128.5,2025年2季度
5,603822,嘉澳环保,,,变动详情股吧行情,8.83%,20.67,1077.53,2025年2季度
6,688386,泛亚微透,,,变动详情股吧行情,7.92%,17.81,967.1,2025年2季度
7,831,中国稀土,,,变动详情股吧行情,6.47%,21.86,789.58,2025年2季度
8,600111,北方稀土,,,变动详情股吧行情,5.85%,28.7,714.63,2025年2季度
9,803,山高环能,,,变动详情股吧行情,5.59%,110.73,682.1,2025年2季度
10,600378,昊华科技,,,变动详情股吧行情,4.82%,21.74,588.5,2025年2季度
1,600160,巨化股份,,,股吧行情,9.77%,12.39,306.16,2025年1季度
2,603379,三美股份,,,股吧行情,9.72%,7.54,304.62,2025年1季度
3,605020,永和股份,,,股吧行情,9.61%,13.26,301.0,2025年1季度
4,189,东岳集团,,,股吧行情,9.49%,35.36,297.3,2025年1季度
5,803,山高环能,,,股吧行情,9.18%,53.28,287.71,2025年1季度
6,2140,东华科技,,,股吧行情,5.07%,15.11,158.81,2025年1季度
7,603067,振华股份,,,股吧行情,5.00%,8.94,156.72,2025年1季度
8,2637,赞宇科技,,,股吧行情,4.99%,16.58,156.35,2025年1季度
9,600111,北方稀土,,,股吧行情,4.95%,6.84,154.99,2025年1季度
10,688776,国光电气,,,股吧行情,4.89%,1.8,153.3,2025年1季度
