序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,300972,万辰集团,股吧行情,10.86%,20.39,1639.56,2024年4季度
2,2463,沪电股份,股吧行情,10.00%,38.08,1509.87,2024年4季度
3,2127,南极电商,股吧行情,9.70%,332.85,1464.54,2024年4季度
4,603477,巨星农牧,股吧行情,9.28%,78.93,1401.01,2024年4季度
5,688676,金盘科技,股吧行情,9.24%,33.67,1394.7,2024年4季度
6,300476,胜宏科技,股吧行情,9.21%,33.04,1390.65,2024年4季度
7,300502,新易盛,股吧行情,8.30%,10.84,1252.89,2024年4季度
8,688372,伟测科技,股吧行情,6.46%,16.68,975.9,2024年4季度
9,688362,甬矽电子,股吧行情,5.48%,24.55,826.96,2024年4季度
10,301061,匠心家居,股吧行情,5.46%,13.34,824.41,2024年4季度
1,688676,金盘科技,股吧行情,10.00%,43.54,1605.77,2024年3季度
2,2463,沪电股份,股吧行情,9.78%,39.12,1571.06,2024年3季度
3,300502,新易盛,股吧行情,9.43%,11.65,1514.15,2024年3季度
4,688372,伟测科技,股吧行情,9.24%,27.46,1484.16,2024年3季度
5,300476,胜宏科技,股吧行情,9.05%,36.62,1453.81,2024年3季度
6,688362,甬矽电子,股吧行情,7.52%,54.31,1208.46,2024年3季度
7,2597,金禾实业,股吧行情,7.42%,47.02,1191.96,2024年3季度
8,2648,卫星化学,股吧行情,6.63%,57.04,1064.84,2024年3季度
9,300308,中际旭创,股吧行情,6.20%,6.43,995.75,2024年3季度
10,301345,涛涛车业,股吧行情,4.34%,11.25,697.14,2024年3季度
1,688052,纳芯微,股吧行情,8.74%,14.44,1484.5,2024年2季度
2,2463,沪电股份,股吧行情,8.73%,40.63,1483.0,2024年2季度
3,688362,甬矽电子,股吧行情,7.87%,68.67,1336.34,2024年2季度
4,688372,伟测科技,股吧行情,7.73%,33.4,1313.68,2024年2季度
5,688676,金盘科技,股吧行情,7.23%,23.55,1228.03,2024年2季度
6,603129,春风动力,股吧行情,7.20%,8.59,1222.7,2024年2季度
7,688141,杰华特,股吧行情,7.02%,73.81,1192.77,2024年2季度
8,600529,山东药玻,股吧行情,6.23%,41.75,1057.95,2024年2季度
9,2648,卫星化学,股吧行情,5.15%,48.66,874.82,2024年2季度
10,300049,福瑞股份,股吧行情,5.12%,17.27,869.37,2024年2季度
1,688372,伟测科技,股吧行情,9.25%,28.94,1927.56,2024年1季度
2,568,泸州老窖,股吧行情,8.52%,9.62,1775.76,2024年1季度
3,603369,今世缘,股吧行情,8.51%,30.22,1773.01,2024年1季度
4,600809,山西汾酒,股吧行情,8.18%,6.95,1703.31,2024年1季度
5,688362,甬矽电子,股吧行情,7.47%,77.49,1555.93,2024年1季度
6,688141,杰华特,股吧行情,7.40%,94.68,1541.37,2024年1季度
7,603225,新凤鸣,股吧行情,6.47%,92.12,1348.56,2024年1季度
8,603255,鼎际得,股吧行情,6.35%,37.11,1322.23,2024年1季度
9,2648,卫星化学,股吧行情,5.72%,64.46,1192.42,2024年1季度
10,688052,纳芯微,股吧行情,5.33%,11.06,1110.4,2024年1季度
