序号,股票代码,股票名称,相关资讯,占净值比例,持股数 （万股）,持仓市值 （万元人民币）,季度
1,1177,中国生物制药,股吧行情,0.09,13.9,43.71,2023年4季度
2,6160,百济神州,股吧行情,0.08,0.39,38.91,2023年4季度
3,1093,石药集团,股吧行情,0.07,5.2,34.21,2023年4季度
4,1801,信达生物,股吧行情,0.06,0.8,30.99,2023年4季度
5,2269,药明生物,股吧行情,0.06,1.05,28.17,2023年4季度
6,867,康哲药业,股吧行情,0.04,1.5,18.81,2023年4季度
7,2359,药明康德,股吧行情,0.04,0.26,18.72,2023年4季度
8,9926,康方生物,股吧行情,0.04,0.4,16.82,2023年4季度
9,1066,威高股份,股吧行情,0.03,2.2,15.17,2023年4季度
10,1548,金斯瑞生物科技,股吧行情,0.03,0.8,14.4,2023年4季度
1,2269,药明生物,股吧行情,0.23,1.05,43.98,2023年3季度
2,6160,百济神州,股吧行情,0.2,0.39,38.51,2023年3季度
3,1177,中国生物制药,股吧行情,0.19,13.9,36.1,2023年3季度
4,1801,信达生物,股吧行情,0.15,0.8,28.08,2023年3季度
5,1093,石药集团,股吧行情,0.14,5.2,27.39,2023年3季度
6,2359,药明康德,股吧行情,0.12,0.26,22.37,2023年3季度
7,867,康哲药业,股吧行情,0.09,1.5,16.32,2023年3季度
8,1548,金斯瑞生物科技,股吧行情,0.08,0.8,15.16,2023年3季度
9,1066,威高股份,股吧行情,0.07,2.2,13.89,2023年3季度
10,6618,京东健康,股吧行情,0.07,0.37,13.6,2023年3季度
