序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688095,福昕软件,股吧行情,10.02%,44.0,2955.04,2024年4季度
2,688615,合合信息,股吧行情,9.95%,14.5,2935.38,2024年4季度
3,688088,虹软科技,股吧行情,9.94%,76.0,2930.56,2024年4季度
4,688608,恒玄科技,股吧行情,9.93%,9.0,2928.33,2024年4季度
5,688515,裕太微,股吧行情,9.90%,29.5,2920.5,2024年4季度
6,688486,龙迅股份,股吧行情,9.79%,37.0,2887.48,2024年4季度
7,688279,峰岹科技,股吧行情,9.62%,18.0,2838.6,2024年4季度
8,688582,芯动联科,股吧行情,9.55%,56.0,2817.36,2024年4季度
9,688049,炬芯科技,股吧行情,7.91%,52.0,2333.24,2024年4季度
10,688270,臻镭科技,股吧行情,7.71%,65.0,2275.0,2024年4季度
1,688582,芯动联科,股吧行情,9.92%,16.0,665.76,2024年3季度
2,688049,炬芯科技,股吧行情,9.87%,24.5,661.75,2024年3季度
3,688088,虹软科技,股吧行情,9.80%,19.5,657.15,2024年3季度
4,688279,峰岹科技,股吧行情,9.73%,4.8,652.75,2024年3季度
5,688486,龙迅股份,股吧行情,9.68%,11.5,649.41,2024年3季度
6,688507,索辰科技,股吧行情,9.63%,11.5,646.3,2024年3季度
7,688608,恒玄科技,股吧行情,9.50%,3.0,637.14,2024年3季度
8,688095,福昕软件,股吧行情,9.47%,9.5,634.98,2024年3季度
9,688270,臻镭科技,股吧行情,9.07%,22.0,608.08,2024年3季度
10,688111,金山办公,股吧行情,7.94%,2.0,532.8,2024年3季度
1,688279,峰岹科技,股吧行情,9.93%,5.0,554.5,2024年2季度
2,688608,恒玄科技,股吧行情,9.83%,3.75,548.93,2024年2季度
3,688088,虹软科技,股吧行情,9.82%,19.0,548.34,2024年2季度
4,688286,敏芯股份,股吧行情,9.80%,11.5,547.4,2024年2季度
5,688486,龙迅股份,股吧行情,9.75%,9.5,544.35,2024年2季度
6,688049,炬芯科技,股吧行情,9.71%,24.5,541.94,2024年2季度
7,688582,芯动联科,股吧行情,9.58%,19.0,535.04,2024年2季度
8,688095,福昕软件,股吧行情,9.44%,11.5,526.82,2024年2季度
9,688515,裕太微,股吧行情,9.35%,9.0,522.0,2024年2季度
10,688507,索辰科技,股吧行情,6.53%,7.5,364.5,2024年2季度
1,688279,峰岹科技,股吧行情,10.15%,5.5,625.41,2024年1季度
2,688088,虹软科技,股吧行情,10.05%,19.0,619.21,2024年1季度
3,688486,龙迅股份,股吧行情,9.83%,7.0,605.92,2024年1季度
4,688608,恒玄科技,股吧行情,9.42%,5.5,580.69,2024年1季度
5,688515,裕太微,股吧行情,9.39%,7.5,578.85,2024年1季度
6,688049,炬芯科技,股吧行情,9.03%,20.0,556.8,2024年1季度
7,688582,芯动联科,股吧行情,8.86%,16.0,546.4,2024年1季度
8,688095,福昕软件,股吧行情,8.77%,8.0,540.56,2024年1季度
9,688568,中科星图,股吧行情,5.39%,6.0,332.4,2024年1季度
10,301378,通达海,股吧行情,4.66%,8.0,286.96,2024年1季度
