序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2230,科大讯飞,股吧行情,8.16%,266.47,12875.73,2024年4季度
2,688111,金山办公,股吧行情,6.05%,33.32,9543.55,2024年4季度
3,938,紫光股份,股吧行情,5.53%,313.59,8727.09,2024年4季度
4,300502,新易盛,股吧行情,4.92%,67.21,7767.81,2024年4季度
5,977,浪潮信息,股吧行情,4.88%,148.49,7703.82,2024年4季度
6,300308,中际旭创,股吧行情,4.88%,62.32,7696.53,2024年4季度
7,603019,中科曙光,股吧行情,4.76%,103.95,7517.9,2024年4季度
8,600570,恒生电子,股吧行情,3.87%,218.32,6110.66,2024年4季度
9,300339,润和软件,股吧行情,3.64%,114.77,5741.94,2024年4季度
10,300442,润泽科技,股吧行情,3.27%,99.21,5154.95,2024年4季度
1,2230,科大讯飞,股吧行情,8.43%,272.23,12098.03,2024年3季度
2,688111,金山办公,股吧行情,6.38%,34.39,9162.11,2024年3季度
3,300502,新易盛,股吧行情,5.58%,61.6,8005.79,2024年3季度
4,300308,中际旭创,股吧行情,5.29%,49.02,7590.46,2024年3季度
5,603019,中科曙光,股吧行情,4.83%,145.22,6930.05,2024年3季度
6,977,浪潮信息,股吧行情,4.45%,153.88,6386.14,2024年3季度
7,938,紫光股份,股吧行情,4.27%,254.01,6131.84,2024年3季度
8,600570,恒生电子,股吧行情,3.57%,224.17,5126.76,2024年3季度
9,300339,润和软件,股吧行情,3.15%,120.89,4517.66,2024年3季度
10,600845,宝信软件,股吧行情,2.97%,129.3,4265.76,2024年3季度
1,2230,科大讯飞,股吧行情,10.16%,307.53,13208.54,2024年2季度
2,300502,新易盛,股吧行情,6.93%,85.4,9013.67,2024年2季度
3,688111,金山办公,股吧行情,6.68%,38.2,8689.45,2024年2季度
4,300308,中际旭创,股吧行情,6.30%,59.42,8192.14,2024年2季度
5,603019,中科曙光,股吧行情,5.81%,182.02,7553.96,2024年2季度
6,977,浪潮信息,股吧行情,4.81%,171.88,6251.38,2024年2季度
7,938,紫光股份,股吧行情,4.68%,272.01,6079.46,2024年2季度
8,600845,宝信软件,股吧行情,3.37%,137.4,4387.33,2024年2季度
9,600570,恒生电子,股吧行情,3.17%,233.6,4125.46,2024年2季度
10,600588,用友网络,股吧行情,2.36%,306.54,3065.4,2024年2季度
1,2230,科大讯飞,股吧行情,9.14%,295.91,14416.88,2024年1季度
2,300308,中际旭创,股吧行情,7.70%,77.64,12155.88,2024年1季度
3,688111,金山办公,股吧行情,6.92%,37.53,10921.43,2024年1季度
4,603019,中科曙光,股吧行情,5.84%,192.88,9210.17,2024年1季度
5,938,紫光股份,股吧行情,4.94%,359.35,7801.53,2024年1季度
6,300502,新易盛,股吧行情,4.88%,114.95,7701.46,2024年1季度
7,977,浪潮信息,股吧行情,4.40%,161.98,6949.07,2024年1季度
8,600570,恒生电子,股吧行情,3.54%,247.51,5583.93,2024年1季度
9,600845,宝信软件,股吧行情,2.78%,115.55,4385.14,2024年1季度
10,600588,用友网络,股吧行情,2.46%,324.9,3882.56,2024年1季度
