基金代码,年份,股票代码,股票名称,所属行业,概念主题,持仓占比,持股数,市值,报告日期
015456,2025,688239,航宇科技,未知,未知,股吧行情,3.81%,87.89,9
015456,2025,688361,中科飞测,未知,未知,股吧行情,3.33%,41.38,10
014332,2024,600259,广晟有色,未知,未知,56.16,-0.37%,变动详情股吧行情,1
014332,2024,600549,厦门钨业,未知,未知,28.78,0.77%,变动详情股吧行情,2
014332,2024,601908,京运通,未知,未知,4.38,-5.40%,变动详情股吧行情,3
014332,2024,601600,中国铝业,未知,未知,7.74,1.31%,变动详情股吧行情,4
014332,2024,688077,大地熊,未知,未知,35.31,-2.78%,变动详情股吧行情,5
014332,2024,300811,铂科新材,未知,未知,76.45,0.07%,变动详情股吧行情,6
014332,2024,600111,北方稀土,未知,未知,47.05,-2.18%,变动详情股吧行情,7
014332,2024,600980,北矿科技,未知,未知,23.56,-0.63%,变动详情股吧行情,8
014332,2024,600580,卧龙电驱,未知,未知,51.00,-10.01%,变动详情股吧行情,9
014332,2024,600392,盛和资源,未知,未知,22.57,2.68%,变动详情股吧行情,10
014332,2024,600259,广晟有色,未知,未知,股吧行情,0.04%,0.09,1
014332,2024,601908,京运通,未知,未知,股吧行情,0.03%,0.84,2
014332,2024,600549,厦门钨业,未知,未知,股吧行情,0.03%,0.12,3
014332,2024,601600,中国铝业,未知,未知,股吧行情,0.03%,0.27,4
014332,2024,688077,大地熊,未知,未知,股吧行情,0.03%,0.12,5
014332,2024,300811,铂科新材,未知,未知,股吧行情,0.03%,0.04,6
014332,2024,600980,北矿科技,未知,未知,股吧行情,0.02%,0.12,7
014332,2024,600111,北方稀土,未知,未知,股吧行情,0.02%,0.09,8
014332,2024,600580,卧龙电驱,未知,未知,股吧行情,0.02%,0.12,9
014332,2024,600392,盛和资源,未知,未知,股吧行情,0.02%,0.15,10
014332,2024,601908,京运通,未知,未知,股吧行情,0.04%,0.78,1
014332,2024,300811,铂科新材,未知,未知,股吧行情,0.02%,0.03,2
014332,2024,601600,中国铝业,未知,未知,股吧行情,0.02%,0.21,3
014332,2024,600549,厦门钨业,未知,未知,股吧行情,0.02%,0.06,4
014332,2024,600580,卧龙电驱,未知,未知,股吧行情,0.01%,0.06,5
014332,2024,600259,广晟有色,未知,未知,股吧行情,0.01%,0.03,6
014332,2024,600980,北矿科技,未知,未知,股吧行情,0.01%,0.06,7
014332,2024,600392,盛和资源,未知,未知,股吧行情,0.01%,0.09,8
014332,2024,600416,湘电股份,未知,未知,股吧行情,0.01%,0.06,9
014332,2024,600206,有研新材,未知,未知,股吧行情,0.01%,0.06,10
017836,2025,00189,东岳集团,未知,未知,12.00,0.08%,变动详情股吧行情,1
017836,2025,600160,巨化股份,未知,未知,36.62,-0.38%,变动详情股吧行情,2
017836,2025,603379,三美股份,未知,未知,56.19,0.97%,变动详情股吧行情,3
017836,2025,605020,永和股份,未知,未知,28.28,1.84%,变动详情股吧行情,4
017836,2025,603822,嘉澳环保,未知,未知,76.20,-0.77%,变动详情股吧行情,5
017836,2025,688386,泛亚微透,未知,未知,78.70,-1.28%,变动详情股吧行情,6
017836,2025,000831,中国稀土,未知,未知,51.28,-1.78%,变动详情股吧行情,7
017836,2025,600111,北方稀土,未知,未知,47.05,-2.18%,变动详情股吧行情,8
017836,2025,000803,山高环能,未知,未知,7.18,-0.55%,变动详情股吧行情,9
017836,2025,600378,昊华科技,未知,未知,29.55,1.30%,变动详情股吧行情,10
017836,2025,600160,巨化股份,未知,未知,股吧行情,9.77%,12.39,1
017836,2025,603379,三美股份,未知,未知,股吧行情,9.72%,7.54,2
017836,2025,605020,永和股份,未知,未知,股吧行情,9.61%,13.26,3
017836,2025,00189,东岳集团,未知,未知,股吧行情,9.49%,35.36,4
017836,2025,000803,山高环能,未知,未知,股吧行情,9.18%,53.28,5
017836,2025,002140,东华科技,未知,未知,股吧行情,5.07%,15.11,6
017836,2025,603067,振华股份,未知,未知,股吧行情,5.00%,8.94,7
017836,2025,002637,赞宇科技,未知,未知,股吧行情,4.99%,16.58,8
017836,2025,600111,北方稀土,未知,未知,股吧行情,4.95%,6.84,9
017836,2025,688776,国光电气,未知,未知,股吧行情,4.89%,1.80,10
