序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688111,金山办公,股吧行情,5.63%,6.22,1966.99,2023年4季度
2,688041,海光信息,股吧行情,4.91%,24.16,1714.96,2023年4季度
3,603890,春秋电子,股吧行情,4.33%,131.93,1510.6,2023年4季度
4,2273,水晶光电,股吧行情,4.30%,111.03,1503.35,2023年4季度
5,300033,同花顺,股吧行情,4.21%,9.38,1471.44,2023年4季度
6,100,TCL科技,股吧行情,4.18%,339.82,1461.23,2023年4季度
7,300803,指南针,股吧行情,4.08%,23.64,1424.55,2023年4季度
8,688383,新益昌,股吧行情,3.97%,13.23,1386.81,2023年4季度
9,2436,兴森科技,股吧行情,3.85%,91.39,1346.17,2023年4季度
10,300226,上海钢联,股吧行情,3.69%,45.19,1287.6,2023年4季度
1,300033,同花顺,股吧行情,6.59%,11.61,1735.23,2023年3季度
2,300766,每日互动,股吧行情,5.13%,84.67,1351.33,2023年3季度
3,600602,云赛智联,股吧行情,5.13%,90.67,1350.98,2023年3季度
4,300226,上海钢联,股吧行情,5.12%,45.25,1348.59,2023年3季度
5,300687,赛意信息,股吧行情,4.80%,54.98,1265.55,2023年3季度
6,32,深桑达A,股吧行情,4.55%,53.61,1199.79,2023年3季度
7,603986,兆易创新,股吧行情,4.35%,11.63,1146.72,2023年3季度
8,2368,太极股份,股吧行情,4.23%,36.38,1113.26,2023年3季度
9,688777,中控技术,股吧行情,4.15%,22.86,1092.77,2023年3季度
10,300059,东方财富,股吧行情,4.10%,71.01,1079.35,2023年3季度
1,938,紫光股份,股吧行情,6.50%,48.52,1545.36,2023年2季度
2,603444,吉比特,股吧行情,4.73%,2.29,1124.64,2023年2季度
3,2368,太极股份,股吧行情,4.66%,26.9,1107.64,2023年2季度
4,603258,电魂网络,股吧行情,4.61%,25.81,1097.18,2023年2季度
5,32,深桑达A,股吧行情,4.61%,33.33,1096.56,2023年2季度
6,300451,创业慧康,股吧行情,4.59%,130.19,1091.02,2023年2季度
7,688111,金山办公,股吧行情,4.28%,2.16,1018.96,2023年2季度
8,600536,中国软件,股吧行情,3.97%,20.15,944.82,2023年2季度
9,300226,上海钢联,股吧行情,3.86%,28.33,918.05,2023年2季度
10,300766,每日互动,股吧行情,3.83%,54.32,910.4,2023年2季度
1,2410,广联达,股吧行情,7.06%,16.74,1243.78,2023年1季度
2,300451,创业慧康,股吧行情,6.21%,99.68,1094.52,2023年1季度
3,600941,中国移动,股吧行情,4.91%,9.61,864.61,2023年1季度
4,601728,中国电信,股吧行情,4.87%,135.52,857.84,2023年1季度
5,32,深桑达A,股吧行情,4.51%,24.04,794.76,2023年1季度
6,300442,润泽科技,股吧行情,4.03%,10.46,710.55,2023年1季度
7,600050,中国联通,股吧行情,3.98%,129.35,701.05,2023年1季度
8,600536,中国软件,股吧行情,3.90%,9.98,686.92,2023年1季度
9,688111,金山办公,股吧行情,3.84%,1.43,676.15,2023年1季度
10,300253,卫宁健康,股吧行情,3.83%,48.69,675.33,2023年1季度
