序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,688256,寒武纪,股吧行情,7.24%,30.0,19740.0,2024年4季度
2,688631,莱斯信息,股吧行情,6.39%,200.0,17418.0,2024年4季度
3,688522,纳睿雷达,股吧行情,6.20%,300.0,16902.0,2024年4季度
4,688375,国博电子,股吧行情,5.43%,300.0,14808.0,2024年4季度
5,301486,致尚科技,股吧行情,5.26%,300.0,14355.04,2024年4季度
6,688326,经纬恒润,股吧行情,5.24%,170.0,14297.0,2024年4季度
7,688498,源杰科技,股吧行情,4.92%,100.0,13420.0,2024年4季度
8,603773,沃格光电,股吧行情,4.64%,500.0,12650.0,2024年4季度
9,688691,灿芯股份,股吧行情,4.23%,150.0,11550.0,2024年4季度
10,2281,光迅科技,股吧行情,3.83%,200.0,10434.0,2024年4季度
1,688631,莱斯信息,股吧行情,8.66%,260.0,18933.2,2024年3季度
2,688522,纳睿雷达,股吧行情,7.58%,320.0,16563.2,2024年3季度
3,688256,寒武纪,股吧行情,6.61%,50.0,14458.0,2024年3季度
4,688375,国博电子,股吧行情,6.59%,300.0,14394.0,2024年3季度
5,300474,景嘉微,股吧行情,6.29%,180.0,13757.4,2024年3季度
6,688326,经纬恒润,股吧行情,6.23%,159.0,13619.94,2024年3季度
7,688543,国科军工,股吧行情,6.22%,300.0,13587.0,2024年3季度
8,688498,源杰科技,股吧行情,5.62%,100.0,12292.0,2024年3季度
9,301486,致尚科技,股吧行情,5.61%,290.0,12264.1,2024年3季度
10,2281,光迅科技,股吧行情,5.38%,350.0,11763.5,2024年3季度
1,688631,莱斯信息,股吧行情,7.43%,280.0,17365.6,2024年2季度
2,688522,纳睿雷达,股吧行情,7.02%,350.0,16408.0,2024年2季度
3,688375,国博电子,股吧行情,6.05%,200.0,14128.0,2024年2季度
4,688256,寒武纪,股吧行情,5.95%,70.0,13906.9,2024年2季度
5,2281,光迅科技,股吧行情,5.92%,370.0,13826.9,2024年2季度
6,688498,源杰科技,股吧行情,5.61%,100.0,13099.0,2024年2季度
7,688543,国科军工,股吧行情,5.27%,300.0,12321.0,2024年2季度
8,603773,沃格光电,股吧行情,4.86%,550.0,11357.5,2024年2季度
9,300474,景嘉微,股吧行情,4.60%,170.0,10748.78,2024年2季度
10,301486,致尚科技,股吧行情,4.53%,250.0,10577.5,2024年2季度
1,688522,纳睿雷达,股吧行情,7.20%,300.0,18597.0,2024年1季度
2,688631,莱斯信息,股吧行情,6.77%,280.0,17469.2,2024年1季度
3,2085,万丰奥威,股吧行情,6.54%,1000.0,16900.0,2024年1季度
4,2151,北斗星通,股吧行情,6.19%,500.0,15975.0,2024年1季度
5,300474,景嘉微,股吧行情,5.72%,200.0,14780.0,2024年1季度
6,688543,国科军工,股吧行情,5.68%,280.0,14666.4,2024年1季度
7,603773,沃格光电,股吧行情,5.34%,475.0,13798.75,2024年1季度
8,688375,国博电子,股吧行情,5.08%,190.0,13110.0,2024年1季度
9,300567,精测电子,股吧行情,3.67%,130.0,9483.5,2024年1季度
10,688498,源杰科技,股吧行情,3.63%,75.0,9375.0,2024年1季度
