序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,300972,万辰集团,股吧行情,10.04%,17.19,1382.25
2,2463,沪电股份,股吧行情,9.93%,34.48,1367.13
3,2127,南极电商,股吧行情,9.92%,310.37,1365.63
4,300502,新易盛,股吧行情,8.94%,10.64,1229.77
5,603477,巨星农牧,股吧行情,8.85%,68.58,1217.3
6,300476,胜宏科技,股吧行情,8.77%,28.68,1207.14
7,688676,金盘科技,股吧行情,8.56%,28.43,1177.66
8,688372,伟测科技,股吧行情,6.06%,14.24,833.47
9,688362,甬矽电子,股吧行情,5.47%,22.34,752.47
10,301061,匠心家居,股吧行情,4.98%,11.09,685.36
