序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,1801,信达生物,股吧行情,8.47%,72.7,2816.46,2023年4季度
2,688382,益方生物,股吧行情,7.97%,175.09,2650.82,2023年4季度
3,13,和黄医药,股吧行情,7.71%,98.66,2565.97,2023年4季度
4,600276,恒瑞医药,股吧行情,6.79%,49.95,2259.15,2023年4季度
5,2162,康诺亚-B,股吧行情,6.49%,48.51,2158.68,2023年4季度
6,9926,康方生物,股吧行情,5.17%,40.93,1721.19,2023年4季度
7,1177,中国生物制药,股吧行情,4.98%,526.6,1655.94,2023年4季度
8,1548,金斯瑞生物科技,股吧行情,4.87%,90.01,1619.96,2023年4季度
9,688235,百济神州,股吧行情,4.64%,11.11,1544.14,2023年4季度
10,9995,荣昌生物,股吧行情,4.57%,44.8,1520.42,2023年4季度
1,600276,恒瑞医药,股吧行情,8.57%,37.85,1700.89,2023年3季度
2,688235,百济神州,股吧行情,8.53%,11.98,1692.42,2023年3季度
3,1801,信达生物,股吧行情,6.84%,38.7,1358.34,2023年3季度
4,13,和黄医药,股吧行情,6.14%,49.86,1219.29,2023年3季度
5,603259,药明康德,股吧行情,5.40%,12.43,1071.22,2023年3季度
6,2269,药明生物,股吧行情,5.19%,24.6,1030.49,2023年3季度
7,688382,益方生物,股吧行情,5.10%,73.63,1012.44,2023年3季度
8,9926,康方生物,股吧行情,5.05%,30.33,1002.05,2023年3季度
9,2162,康诺亚-B,股吧行情,5.03%,21.81,998.89,2023年3季度
10,9995,荣昌生物,股吧行情,4.83%,25.9,957.79,2023年3季度
1,600276,恒瑞医药,股吧行情,9.48%,32.05,1535.1,2023年2季度
2,688235,百济神州,股吧行情,7.24%,10.75,1173.36,2023年2季度
3,300558,贝达药业,股吧行情,5.14%,17.34,832.84,2023年2季度
4,603259,药明康德,股吧行情,4.88%,12.69,790.71,2023年2季度
5,13,和黄医药,股吧行情,4.82%,45.96,781.36,2023年2季度
6,9926,康方生物,股吧行情,4.19%,20.83,679.0,2023年2季度
7,1801,信达生物,股吧行情,4.10%,24.35,664.53,2023年2季度
8,1548,金斯瑞生物科技,股吧行情,3.77%,37.6,610.13,2023年2季度
9,2096,先声药业,股吧行情,3.01%,68.2,487.94,2023年2季度
10,2422,科伦药业,股吧行情,3.01%,16.44,487.94,2023年2季度
1,600276,恒瑞医药,股吧行情,9.39%,12.13,519.32,2023年1季度
2,688235,百济神州,股吧行情,8.06%,3.41,445.85,2023年1季度
3,2162,康诺亚-B,股吧行情,5.05%,5.5,279.26,2023年1季度
4,1801,信达生物,股吧行情,5.03%,9.05,278.47,2023年1季度
5,13,和黄医药,股吧行情,4.97%,15.2,274.77,2023年1季度
6,688382,益方生物,股吧行情,4.92%,16.61,272.08,2023年1季度
7,688506,百利天恒,股吧行情,4.00%,3.39,221.53,2023年1季度
8,688180,君实生物,股吧行情,3.94%,4.53,217.74,2023年1季度
9,300558,贝达药业,股吧行情,3.31%,3.12,183.33,2023年1季度
10,2422,科伦药业,股吧行情,3.22%,6.27,178.19,2023年1季度
