序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,2230,科大讯飞,,,变动详情股吧行情,8.65%,363.15,17387.45,2025年2季度
2,300308,中际旭创,,,变动详情股吧行情,6.17%,85.08,12409.05,2025年2季度
3,300502,新易盛,,,变动详情股吧行情,5.77%,91.41,11610.91,2025年2季度
4,603019,中科曙光,,,变动详情股吧行情,5.22%,148.99,10489.12,2025年2季度
5,688111,金山办公,,,变动详情股吧行情,5.18%,37.2,10418.11,2025年2季度
6,977,浪潮信息,,,变动详情股吧行情,4.19%,165.57,8424.35,2025年2季度
7,600570,恒生电子,,,变动详情股吧行情,4.05%,243.12,8154.11,2025年2季度
8,938,紫光股份,,,变动详情股吧行情,3.82%,320.56,7690.13,2025年2季度
9,300339,润和软件,,,变动详情股吧行情,3.23%,127.95,6503.7,2025年2季度
10,300442,润泽科技,,,变动详情股吧行情,2.72%,110.6,5478.02,2025年2季度
1,2230,科大讯飞,,,股吧行情,7.53%,364.15,17322.52,2025年1季度
2,688111,金山办公,,,股吧行情,5.89%,45.3,13550.97,2025年1季度
3,938,紫光股份,,,股吧行情,5.15%,431.99,11845.05,2025年1季度
4,977,浪潮信息,,,股吧行情,4.76%,204.53,10938.42,2025年1季度
5,603019,中科曙光,,,股吧行情,4.13%,143.25,9506.28,2025年1季度
6,300502,新易盛,,,股吧行情,3.91%,91.72,8999.29,2025年1季度
7,300308,中际旭创,,,股吧行情,3.68%,85.9,8472.68,2025年1季度
8,600570,恒生电子,,,股吧行情,3.67%,300.76,8433.43,2025年1季度
9,300339,润和软件,,,股吧行情,3.57%,158.12,8209.59,2025年1季度
10,300442,润泽科技,,,股吧行情,3.36%,135.44,7739.04,2025年1季度
