序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,600111,北方稀土,,,变动详情股吧行情,0.03,1.81,41.01
2,600580,卧龙电驱,,,变动详情股吧行情,0.01,0.65,17.22
3,601600,中国铝业,,,变动详情股吧行情,0.01,1.92,14.32
4,600549,厦门钨业,,,变动详情股吧行情,0.01,0.68,13.14
5,600010,包钢股份,,,变动详情股吧行情,0.01,7.22,12.92
6,600392,盛和资源,,,变动详情股吧行情,0.01,1.0,10.91
7,600416,湘电股份,,,变动详情股吧行情,0.01,0.66,7.11
8,600206,有研新材,,,变动详情股吧行情,0.01,0.42,6.93
9,600478,科力远,,,变动详情股吧行情,0.0,0.95,4.74
10,600259,广晟有色,,,变动详情股吧行情,0.0,0.14,4.66
