fund_code,year,stock_code,stock_name,proportion,shares,market_value,report_date
017484,2025,300059,东方财富,26.55,-1.19%,变动详情股吧行情,1
017484,2025,300548,长芯博创,128.00,0.17%,变动详情股吧行情,2
017484,2025,688787,海天瑞声,120.89,-2.40%,变动详情股吧行情,3
017484,2025,688502,茂莱光学,460.10,3.93%,变动详情股吧行情,4
017484,2025,300803,指南针,153.40,-3.51%,变动详情股吧行情,5
017484,2025,603918,金桥信息,18.05,-1.85%,变动详情股吧行情,6
017484,2025,300130,新国都,27.81,0.00%,变动详情股吧行情,7
017484,2025,688981,中芯国际,121.34,-0.66%,变动详情股吧行情,8
017484,2025,002837,英维克,74.44,-4.66%,变动详情股吧行情,9
017484,2025,300738,奥飞数据,22.26,-1.85%,变动详情股吧行情,10
017484,2025,688981,中芯国际,股吧行情,7.37%,95.63,1
017484,2025,300383,光环新网,股吧行情,5.39%,373.69,2
017484,2025,300738,奥飞数据,股吧行情,5.24%,250.47,3
017484,2025,603171,税友股份,股吧行情,4.94%,125.73,4
017484,2025,300442,润泽科技,股吧行情,4.93%,100.03,5
017484,2025,603887,城地香江,股吧行情,4.89%,304.56,6
017484,2025,002624,完美世界,股吧行情,4.75%,480.09,7
017484,2025,603039,泛微网络,股吧行情,4.70%,81.07,8
017484,2025,301269,华大九天,股吧行情,3.89%,39.06,9
017484,2025,688608,恒玄科技,股吧行情,3.55%,10.12,10
011036,2025,600111,北方稀土,47.05,-2.18%,变动详情股吧行情,1
011036,2025,600580,卧龙电驱,51.00,-10.01%,变动详情股吧行情,2
011036,2025,601600,中国铝业,7.74,1.31%,变动详情股吧行情,3
011036,2025,600549,厦门钨业,28.78,0.77%,变动详情股吧行情,4
011036,2025,600010,包钢股份,2.38,-1.24%,变动详情股吧行情,5
011036,2025,600392,盛和资源,22.57,2.68%,变动详情股吧行情,6
011036,2025,600416,湘电股份,15.02,0.00%,变动详情股吧行情,7
011036,2025,600206,有研新材,21.07,-0.28%,变动详情股吧行情,8
011036,2025,600478,科力远,6.47,0.47%,变动详情股吧行情,9
011036,2025,600259,广晟有色,56.16,-0.37%,变动详情股吧行情,10
015456,2025,688213,思特威,102.88,1.06%,变动详情股吧行情,1
015456,2025,688608,恒玄科技,252.95,-3.04%,变动详情股吧行情,2
015456,2025,688458,美芯晟,43.41,-1.45%,变动详情股吧行情,3
015456,2025,688286,敏芯股份,98.10,-1.11%,变动详情股吧行情,4
015456,2025,688332,中科蓝讯,116.52,-1.93%,变动详情股吧行情,5
015456,2025,688049,炬芯科技,54.96,-2.21%,变动详情股吧行情,6
015456,2025,688595,芯海科技,38.88,-0.28%,变动详情股吧行情,7
015456,2025,688601,力芯微,41.50,-1.64%,变动详情股吧行情,8
015456,2025,688239,航宇科技,40.67,3.38%,变动详情股吧行情,9
015456,2025,603893,瑞芯微,215.28,-3.68%,变动详情股吧行情,10
015456,2025,688608,恒玄科技,股吧行情,9.68%,23.50,1
015456,2025,688213,思特威,股吧行情,9.45%,96.00,2
015456,2025,688332,中科蓝讯,股吧行情,9.41%,68.30,3
015456,2025,688286,敏芯股份,股吧行情,8.34%,116.03,4
015456,2025,688458,美芯晟,股吧行情,6.36%,172.59,5
015456,2025,688595,芯海科技,股吧行情,4.71%,119.82,6
015456,2025,688601,力芯微,股吧行情,4.48%,110.00,7
015456,2025,688049,炬芯科技,股吧行情,4.21%,86.75,8
015456,2025,688239,航宇科技,股吧行情,3.81%,87.89,9
015456,2025,688361,中科飞测,股吧行情,3.33%,41.38,10
017836,2025,00189,东岳集团,12.00,0.08%,变动详情股吧行情,1
017836,2025,600160,巨化股份,36.62,-0.38%,变动详情股吧行情,2
017836,2025,603379,三美股份,56.19,0.97%,变动详情股吧行情,3
017836,2025,605020,永和股份,28.28,1.84%,变动详情股吧行情,4
017836,2025,603822,嘉澳环保,76.20,-0.77%,变动详情股吧行情,5
017836,2025,688386,泛亚微透,78.70,-1.28%,变动详情股吧行情,6
017836,2025,000831,中国稀土,51.28,-1.78%,变动详情股吧行情,7
017836,2025,600111,北方稀土,47.05,-2.18%,变动详情股吧行情,8
017836,2025,000803,山高环能,7.18,-0.55%,变动详情股吧行情,9
017836,2025,600378,昊华科技,29.55,1.30%,变动详情股吧行情,10
017836,2025,600160,巨化股份,股吧行情,9.77%,12.39,1
017836,2025,603379,三美股份,股吧行情,9.72%,7.54,2
017836,2025,605020,永和股份,股吧行情,9.61%,13.26,3
017836,2025,00189,东岳集团,股吧行情,9.49%,35.36,4
017836,2025,000803,山高环能,股吧行情,9.18%,53.28,5
017836,2025,002140,东华科技,股吧行情,5.07%,15.11,6
017836,2025,603067,振华股份,股吧行情,5.00%,8.94,7
017836,2025,002637,赞宇科技,股吧行情,4.99%,16.58,8
017836,2025,600111,北方稀土,股吧行情,4.95%,6.84,9
017836,2025,688776,国光电气,股吧行情,4.89%,1.80,10
