序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,600160,巨化股份,股吧行情,9.49%,7.98,192.48
2,603379,三美股份,股吧行情,9.47%,5.0,191.9
3,189,东岳集团,股吧行情,8.26%,22.28,167.53
4,605020,永和股份,股吧行情,5.51%,5.49,111.61
5,688087,英科再生,股吧行情,4.99%,3.33,101.08
6,603822,嘉澳环保,股吧行情,3.97%,1.65,80.45
7,600378,昊华科技,股吧行情,3.44%,2.41,69.67
8,300980,祥源新材,股吧行情,3.41%,3.02,69.16
9,3001,中岩大地,股吧行情,3.06%,1.35,62.1
10,2096,易普力,股吧行情,3.01%,5.14,61.06
