序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）
1,2230,科大讯飞,股吧行情,8.16%,266.47,12875.73
2,688111,金山办公,股吧行情,6.05%,33.32,9543.55
3,938,紫光股份,股吧行情,5.53%,313.59,8727.09
4,300502,新易盛,股吧行情,4.92%,67.21,7767.81
5,977,浪潮信息,股吧行情,4.88%,148.49,7703.82
6,300308,中际旭创,股吧行情,4.88%,62.32,7696.53
7,603019,中科曙光,股吧行情,4.76%,103.95,7517.9
8,600570,恒生电子,股吧行情,3.87%,218.32,6110.66
9,300339,润和软件,股吧行情,3.64%,114.77,5741.94
10,300442,润泽科技,股吧行情,3.27%,99.21,5154.95
