序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,300972,万辰集团,股吧行情,10.56%,29.89,2403.45,2024年4季度
2,2463,沪电股份,股吧行情,10.00%,57.39,2275.51,2024年4季度
3,688676,金盘科技,股吧行情,9.53%,52.38,2169.39,2024年4季度
4,2127,南极电商,股吧行情,9.49%,490.74,2159.26,2024年4季度
5,603477,巨星农牧,股吧行情,8.91%,114.24,2027.76,2024年4季度
6,300476,胜宏科技,股吧行情,8.77%,47.4,1995.07,2024年4季度
7,300502,新易盛,股吧行情,8.37%,16.49,1905.91,2024年4季度
8,688372,伟测科技,股吧行情,6.51%,25.33,1482.1,2024年4季度
9,688362,甬矽电子,股吧行情,5.47%,36.98,1245.32,2024年4季度
10,301061,匠心家居,股吧行情,5.25%,19.35,1195.83,2024年4季度
1,300502,新易盛,股吧行情,10.28%,17.85,2319.96,2024年3季度
2,688676,金盘科技,股吧行情,9.98%,61.06,2251.98,2024年3季度
3,688372,伟测科技,股吧行情,9.69%,40.45,2186.15,2024年3季度
4,2463,沪电股份,股吧行情,9.48%,53.3,2140.53,2024年3季度
5,300476,胜宏科技,股吧行情,9.00%,51.19,2032.24,2024年3季度
6,688362,甬矽电子,股吧行情,8.16%,82.78,1841.91,2024年3季度
7,2597,金禾实业,股吧行情,7.28%,64.82,1643.19,2024年3季度
8,2648,卫星化学,股吧行情,6.43%,77.76,1451.74,2024年3季度
9,300308,中际旭创,股吧行情,6.15%,8.97,1389.09,2024年3季度
10,301345,涛涛车业,股吧行情,4.17%,15.17,940.24,2024年3季度
1,2463,沪电股份,股吧行情,9.53%,56.52,2062.98,2024年2季度
2,688052,纳芯微,股吧行情,8.90%,18.75,1926.71,2024年2季度
3,688362,甬矽电子,股吧行情,7.84%,87.13,1695.48,2024年2季度
4,688372,伟测科技,股吧行情,7.77%,42.76,1681.76,2024年2季度
5,688676,金盘科技,股吧行情,7.31%,30.32,1581.23,2024年2季度
6,688141,杰华特,股吧行情,7.21%,96.54,1560.16,2024年2季度
7,603129,春风动力,股吧行情,7.06%,10.73,1527.31,2024年2季度
8,600529,山东药玻,股吧行情,6.12%,52.29,1325.03,2024年2季度
9,2648,卫星化学,股吧行情,5.39%,64.85,1165.97,2024年2季度
10,301345,涛涛车业,股吧行情,5.13%,20.14,1109.71,2024年2季度
1,688372,伟测科技,股吧行情,9.00%,35.69,2377.19,2024年1季度
2,688362,甬矽电子,股吧行情,7.80%,102.61,2060.32,2024年1季度
3,600809,山西汾酒,股吧行情,7.80%,8.4,2058.67,2024年1季度
4,603369,今世缘,股吧行情,7.71%,34.7,2035.85,2024年1季度
5,568,泸州老窖,股吧行情,7.60%,10.87,2006.49,2024年1季度
6,688141,杰华特,股吧行情,7.46%,121.04,1970.58,2024年1季度
7,603255,鼎际得,股吧行情,6.41%,47.48,1691.87,2024年1季度
8,603225,新凤鸣,股吧行情,6.06%,109.33,1600.63,2024年1季度
9,688052,纳芯微,股吧行情,5.54%,14.56,1461.71,2024年1季度
10,2648,卫星化学,股吧行情,5.36%,76.57,1416.51,2024年1季度
