序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,1801,信达生物,,,变动详情股吧行情,8.17%,84.57,6046.5,2025年2季度
2,6990,科伦博泰生物-B,,,变动详情股吧行情,8.16%,20.24,6039.41,2025年2季度
3,9926,康方生物,,,变动详情股吧行情,8.12%,71.67,6009.47,2025年2季度
4,6160,百济神州,,,变动详情股吧行情,8.03%,44.09,5942.23,2025年2季度
5,3692,翰森制药,,,变动详情股吧行情,6.42%,175.06,4749.56,2025年2季度
6,1530,三生制药,,,变动详情股吧行情,4.32%,148.4,3200.63,2025年2季度
7,9969,诺诚健华,,,变动详情股吧行情,4.16%,257.6,3077.43,2025年2季度
8,1093,石药集团,,,变动详情股吧行情,4.15%,437.8,3074.24,2025年2季度
9,9688,再鼎医药,,,变动详情股吧行情,4.05%,119.85,3000.21,2025年2季度
10,2162,康诺亚-B,,,变动详情股吧行情,4.00%,70.32,2962.59,2025年2季度
1,3692,翰森制药,,,股吧行情,8.55%,76.86,1737.83,2025年1季度
2,6990,科伦博泰生物-B,,,股吧行情,8.48%,6.42,1722.86,2025年1季度
3,9926,康方生物,,,股吧行情,8.43%,24.37,1713.42,2025年1季度
4,6160,百济神州,,,股吧行情,8.22%,10.9,1671.21,2025年1季度
5,1801,信达生物,,,股吧行情,8.21%,38.82,1669.41,2025年1季度
6,2162,康诺亚-B,,,股吧行情,8.05%,39.92,1635.53,2025年1季度
7,13,和黄医药,,,股吧行情,7.94%,73.3,1613.3,2025年1季度
8,9688,再鼎医药,,,股吧行情,5.94%,45.93,1207.99,2025年1季度
9,9995,荣昌生物,,,股吧行情,4.49%,41.75,913.12,2025年1季度
10,9969,诺诚健华,,,股吧行情,4.04%,97.4,821.54,2025年1季度
