fund_code,year,stock_code,stock_name,hold_ratio,hold_value,stock_price,hold_shares,fund_name,manager,company
002580,2024,688095,福昕软件,,,44.0,2955.04,,,
002580,2024,688615,合合信息,,,14.5,2935.38,,,
002580,2024,688088,虹软科技,,,76.0,2930.56,,,
002580,2024,688608,恒玄科技,,,9.0,2928.33,,,
002580,2024,688515,裕太微,,,29.5,2920.5,,,
002580,2024,688486,龙迅股份,,,37.0,2887.48,,,
002580,2024,688279,峰岹科技,,,18.0,2838.6,,,
002580,2024,688582,芯动联科,,,56.0,2817.36,,,
002580,2024,688049,炬芯科技,,,52.0,2333.24,,,
002580,2024,688270,臻镭科技,,,65.0,2275.0,,,
017484,2024,301269,华大九天,,,26.88,3255.17,,,
017484,2024,002920,德赛西威,,,23.43,2579.88,,,
017484,2024,002475,立讯精密,,,56.36,2297.23,,,
017484,2024,002384,东山精密,,,77.01,2248.55,,,
017484,2024,300033,同花顺,,,6.78,1949.25,,,
017484,2024,002027,分众传媒,,,276.8,1945.9,,,
017484,2024,002415,海康威视,,,62.71,1925.2,,,
017484,2024,000100,TCL科技,,,356.38,1792.59,,,
017484,2024,300369,绿盟科技,,,239.59,1722.65,,,
017484,2024,688052,纳芯微,,,13.0,1693.9,,,
015456,2024,688608,恒玄科技,,,26.1,8492.29,,,
015456,2024,688332,中科蓝讯,,,61.92,8080.55,,,
015456,2024,688213,思特威,,,94.35,7332.98,,,
015456,2024,688286,敏芯股份,,,103.93,6261.81,,,
015456,2024,688601,力芯微,,,111.29,4610.54,,,
015456,2024,688458,美芯晟,,,130.53,4274.94,,,
015456,2024,603893,瑞芯微,,,33.88,3728.62,,,
015456,2024,688361,中科飞测,,,40.06,3507.45,,,
015456,2024,688595,芯海科技,,,106.59,3496.21,,,
015456,2024,688239,航宇科技,,,89.95,3355.27,,,
011036,2024,600111,北方稀土,,,5.66,116.77,,,
011036,2024,002340,格林美,,,7.87,56.11,,,
011036,2024,002202,金风科技,,,5.16,51.7,,,
011036,2024,002600,领益智造,,,6.31,47.39,,,
011036,2024,600010,包钢股份,,,24.7,42.74,,,
011036,2024,000831,中国稀土,,,1.44,40.77,,,
011036,2024,601600,中国铝业,,,4.49,39.96,,,
011036,2024,600549,厦门钨业,,,1.87,39.12,,,
011036,2024,600392,盛和资源,,,3.18,31.96,,,
011036,2024,002056,横店东磁,,,1.83,25.97,,,
016244,2024,09992,泡泡玛特,,,25.82,2143.56,,,
016244,2024,06181,老铺黄金,,,6.31,1409.41,,,
016244,2024,001308,康冠科技,,,46.67,1283.43,,,
016244,2024,300593,新雷能,,,102.0,1142.4,,,
016244,2024,300179,四方达,,,98.74,1110.83,,,
016244,2024,603275,众辰科技,,,32.36,1101.53,,,
016244,2024,00489,东风集团股份,,,312.0,1074.8,,,
016244,2024,688636,智明达,,,38.25,1074.73,,,
016244,2024,600415,小商品城,,,77.43,1038.34,,,
016244,2024,301071,力量钻石,,,28.01,1015.51,,,
014332,2024,600259,广晟有色,56.16,,,,,,
014332,2024,600549,厦门钨业,28.78,,,,,,
014332,2024,601908,京运通,4.38,,,,,,
014332,2024,601600,中国铝业,7.74,,,,,,
014332,2024,688077,大地熊,35.31,,,,,,
014332,2024,300811,铂科新材,76.45,,,,,,
