排序	编码		名称		类型		2025-09-12	2025-10-10	净增长	增长率
1	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9254		1.1952		0.2698	29.15%
2	013841	银华集成电路混合C		混合型-偏股		1.1804		1.5096		0.3292	27.89%
3	022607	汇安行业龙头混合C		混合型-偏股		1.9691		2.5165		0.5474	27.8%
4	007491	南方信息创新混合C		混合型-偏股		2.0227		2.5556		0.5329	26.35%
5	017811	东方人工智能主题混合C		混合型-偏股		1.2618		1.5942		0.3324	26.34%
6	014536	诺安高端制造股票C		股票型		1.7200		2.1400		0.42	24.42%
7	014497	诺安研究优选混合C		混合型-偏股		1.0673		1.3182		0.2509	23.51%
8	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4460		1.7793		0.3333	23.05%
9	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5474		1.8930		0.3456	22.33%
10	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.1882		1.4501		0.2619	22.04%
11	021894	易方达半导体设备ETF联接C		指数型-股票		1.1294		1.3782		0.2488	22.03%
12	025209	永赢先锋半导体智选混合发起C		混合型-偏股		1.0000		1.2199		0.2199	21.99%
13	016262	银华智荟内在价值灵活配置混合发起C		混合型-灵活		2.0048		2.4434		0.4386	21.88%
14	024418	华夏上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.0262		1.2494		0.2232	21.75%
15	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.4879		1.8093		0.3214	21.6%
16	019633	国泰半导体设备ETF联接C		指数型-股票		1.2941		1.5735		0.2794	21.59%
17	013843	银华新锐成长混合C		混合型-偏股		1.0488		1.2677		0.2189	20.87%
18	020986	汇安景气成长混合C		混合型-偏股		1.1208		1.3535		0.2327	20.76%
19	019571	诺安优化配置混合C		混合型-偏股		2.1628		2.6109		0.4481	20.72%
20	015687	银华乐享混合C		混合型-偏股		0.7605		0.9156		0.1551	20.39%
21	020436	金信稳健策略混合C		混合型-灵活		1.8253		2.1957		0.3704	20.29%
22	020451	金信行业优选混合发起式C		混合型-灵活		2.2272		2.6771		0.4499	20.2%
23	024975	华泰柏瑞上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.1045		1.3244		0.2199	19.91%
24	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6374		1.9532		0.3158	19.29%
25	019925	华宝竞争优势混合C		混合型-偏股		0.7601		0.9063		0.1462	19.23%
26	018777	金信精选成长混合C		混合型-偏股		1.3247		1.5744		0.2497	18.85%
27	024070	上银中证半导体产业指数发起式C		指数型-股票		1.3294		1.5717		0.2423	18.23%
28	020840	南方中证半导体产业指数发起C		指数型-股票		1.7981		2.1247		0.3266	18.16%
29	015968	永赢半导体产业智选混合发起C		混合型-偏股		1.4574		1.7174		0.26	17.84%
30	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.6966		1.9945		0.2979	17.56%
31	013312	工银主题策略混合C		混合型-偏股		3.7150		4.3570		0.642	17.28%
32	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.3178		1.5418		0.224	17.0%
33	016569	嘉实碳中和主题混合C		混合型-偏股		1.5609		1.8238		0.2629	16.84%
34	023398	尚正研究睿选混合发起C		混合型-偏股		1.2173		1.4216		0.2043	16.78%
35	020465	招商中证半导体产业ETF发起式联接C		指数型-股票		1.8761		2.1887		0.3126	16.66%
36	025333	诺安成长混合C		混合型-偏股		1.6650		1.9410		0.276	16.58%
37	021938	华安半导体产业股票发起式C		股票型		1.2935		1.5070		0.2135	16.51%
38	021793	华泰保兴产业升级混合发起C		混合型-偏股		1.3199		1.5376		0.2177	16.49%
39	001174	中欧瑾和灵活配置混合C		混合型-灵活		1.6931		1.9653		0.2722	16.08%
40	017076	宝盈半导体产业混合发起式C		混合型-偏股		1.7060		1.9740		0.268	15.71%
41	017858	东财时代优选C		混合型-偏股		1.1286		1.3029		0.1743	15.44%
42	019296	博时匠心优选混合C		混合型-偏股		1.3584		1.5682		0.2098	15.44%
43	017074	嘉实清洁能源股票发起式C		股票型		0.9244		1.0663		0.1419	15.35%
44	017747	建信电子行业股票C		股票型		1.5945		1.8247		0.2302	14.44%
45	016721	前海开源高端装备制造混合C		混合型-灵活		1.7069		1.9523		0.2454	14.38%
46	011171	宝盈智慧生活混合C		混合型-偏股		1.2182		1.3931		0.1749	14.36%
47	011378	创金合信积极成长股票C		股票型		1.2343		1.4106		0.1763	14.28%
48	015766	东方专精特新混合发起式C		混合型-偏股		1.0998		1.2568		0.157	14.28%
49	018870	银河产业动力混合C		混合型-偏股		0.9842		1.1246		0.1404	14.27%
50	023037	中欧资源精选混合发起C		混合型-偏股		1.4277		1.6296		0.2019	14.14%
51	007040	前海联合泳隆混合C		混合型-灵活		1.2391		1.4123		0.1732	13.98%
