排序	编码		名称		类型		2025-09-15	2025-10-14	净增长	增长率
1	022607	汇安行业龙头混合C		混合型-偏股		1.9831		2.6280		0.6449	32.52%
2	014951	汇安润阳三年持有期混合C		混合型-偏股		0.9319		1.2179		0.286	30.69%
3	013841	银华集成电路混合C		混合型-偏股		1.1974		1.4673		0.2699	22.54%
4	014497	诺安研究优选混合C		混合型-偏股		1.0671		1.3037		0.2366	22.17%
5	007491	南方信息创新混合C		混合型-偏股		2.0361		2.4671		0.431	21.17%
6	017811	东方人工智能主题混合C		混合型-偏股		1.2733		1.5397		0.2664	20.92%
7	014536	诺安高端制造股票C		股票型		1.7330		2.0900		0.357	20.6%
8	022180	新沃中债0-3年政策性金融债指数C		指数型-固收		0.9568		1.1510		0.1942	20.3%
9	020986	汇安景气成长混合C		混合型-偏股		1.1349		1.3579		0.223	19.65%
10	023829	万家中证半导体材料设备主题ETF发起式联接C		指数型-股票		1.1887		1.4147		0.226	19.01%
11	021533	天弘中证半导体材料设备主题指数发起C		指数型-股票		1.4473		1.7208		0.2735	18.9%
12	020357	华夏半导体材料设备ETF联接C		指数型-股票		1.5482		1.8325		0.2843	18.36%
13	021894	易方达半导体设备ETF联接C		指数型-股票		1.1300		1.3360		0.206	18.23%
14	019633	国泰半导体设备ETF联接C		指数型-股票		1.2947		1.5264		0.2317	17.9%
15	024418	华夏上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.0289		1.2119		0.183	17.79%
16	020640	广发中证半导体材料设备ETF发起式联接C		指数型-股票		1.4885		1.7506		0.2621	17.61%
17	020436	金信稳健策略混合C		混合型-灵活		1.8579		2.1823		0.3244	17.46%
18	020451	金信行业优选混合发起式C		混合型-灵活		2.2670		2.6604		0.3934	17.35%
19	020554	南方半导体产业股票发起C		股票型		1.7052		1.9990		0.2938	17.23%
20	019571	诺安优化配置混合C		混合型-偏股		2.1836		2.5552		0.3716	17.02%
21	015146	同泰新能源1年持有股票C		股票型		0.9935		1.1612		0.1677	16.88%
22	024975	华泰柏瑞上证科创板半导体材料设备主题ETF发起式联接C		指数型-股票		1.1072		1.2917		0.1845	16.66%
23	018777	金信精选成长混合C		混合型-偏股		1.3504		1.5697		0.2193	16.24%
24	016262	银华智荟内在价值灵活配置混合发起C		混合型-灵活		2.0400		2.3652		0.3252	15.94%
25	021793	华泰保兴产业升级混合发起C		混合型-偏股		1.3226		1.5321		0.2095	15.84%
26	025209	永赢先锋半导体智选混合发起C		混合型-偏股		0.9988		1.1563		0.1575	15.77%
27	019005	国投瑞银白银期货(LOF)C		商品		1.1461		1.3247		0.1786	15.58%
28	018156	创金合信全球医药生物股票发起(QDII)C		QDII-普通股票		1.3103		1.5085		0.1982	15.13%
29	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.6435		1.8814		0.2379	14.48%
30	015968	永赢半导体产业智选混合发起C		混合型-偏股		1.4752		1.6851		0.2099	14.23%
31	013843	银华新锐成长混合C		混合型-偏股		1.0678		1.2162		0.1484	13.9%
32	022084	华安中证有色金属矿业主题指数发起式C		指数型-股票		1.5063		1.7151		0.2088	13.86%
33	015687	银华乐享混合C		混合型-偏股		0.7739		0.8809		0.107	13.83%
34	002207	前海开源金银珠宝混合C		混合型-灵活		2.2570		2.5690		0.312	13.82%
35	001467	华富永鑫灵活配置混合C		混合型-灵活		1.5916		1.8109		0.2193	13.78%
36	001174	中欧瑾和灵活配置混合C		混合型-灵活		1.7024		1.9358		0.2334	13.71%
37	013081	中信保诚中证800有色指数(LOF)C		指数型-股票		2.2801		2.5909		0.3108	13.63%
38	016708	华夏有色金属ETF联接C		指数型-股票		1.4444		1.6398		0.1954	13.53%
39	018133	博时中证有色金属矿业主题指数C		指数型-股票		1.3853		1.5718		0.1865	13.46%
40	019764	中欧半导体产业股票发起C		股票型		1.4317		1.6235		0.1918	13.4%
41	008702	华夏黄金ETF联接C		指数型-其他		1.8002		2.0413		0.2411	13.39%
42	000217	华安黄金易ETF联接C		指数型-其他		2.8138		3.1892		0.3754	13.34%
43	002963	易方达黄金ETF联接C		指数型-其他		2.6586		3.0131		0.3545	13.33%
44	004253	国泰黄金ETF联接C		指数型-其他		2.9427		3.3349		0.3922	13.33%
45	023037	中欧资源精选混合发起C		混合型-偏股		1.4177		1.6064		0.1887	13.31%
46	024203	永赢制造升级智选混合发起C		混合型-偏股		1.0823		1.2258		0.1435	13.26%
47	008143	工银黄金ETF联接C		指数型-其他		1.8663		2.1136		0.2473	13.25%
48	007978	易方达黄金主题美元现汇C		QDII-商品		0.2021		0.2288		0.0267	13.21%
49	007976	易方达黄金主题人民币C		QDII-商品		1.4357		1.6253		0.1896	13.21%
50	021740	前海开源黄金ETF联接C		指数型-其他		1.9221		2.1761		0.254	13.21%
51	002611	博时黄金ETF联接C		指数型-其他		2.6313		2.9777		0.3464	13.16%
